stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,289.91,5337.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.72,1458.85,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,85.81,6.13,0,0,30.65,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,68.35,36.8,49.95,0,0,110.41,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,856.96,47.32,0,0,373.28,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,0,47.2,50.35,0,6.29,78.67,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,1236.76,53.5,0,0,424.84,0,0,3.15,0,28.32,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,1,11,0,1,0,0,0,2,1,0,0,0,0,0,0,0,7,0,0,2,167,0,0,4,7,0,0,0,18,1,1,6,53,0,0,1,0,0
 24-34,0,0,0.82,4.93,0,54.18,0,0,0,6.57,0,0,0.82,0,0.82,0,1.64,0,31.19,0,0,6.57,526.99,0.82,2.46,3.28,0,0,4.1,0,0,0.82,0,1.64,96.86,0,0,2.46,0,1.64
 36-46,0,0,0,3.22,0.81,119.24,0,0,0,14.5,0,0,0,0,0,0,0.81,0.81,33.84,0,0.81,8.06,414.92,0,2.42,2.42,0,0,3.22,0,0.81,0,0,0,101.51,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,121.07,0,0,1.72,22.38,0,0,1.15,0.57,0,0.57,0,0,40.74,0.57,0,4.59,169.27,0.57,1.15,1.15,0,0,0,0,0,0,0,0,40.17,0,0,1.15,0,0
 60-70,0,0,0,4.91,0,101.1,0.98,0,0,30.43,0.98,0,0,1.96,0,0.98,1.96,0,28.46,0,0,3.93,106,0,1.96,0.98,0,0,0.98,0,0,0,0,0,14.72,0,0.98,0.98,0,0.98
 72-82,0,0,0,0.98,0,53.01,0,0.98,0.98,29.45,0,0,0.98,0,0.98,0,1.96,0,30.43,0,4.91,4.91,68.72,0,0.98,0,0,0.98,0,0,0,0,0,0,6.87,0,0,0.98,0,0
 84-94,0,0,0,5.31,0,40.36,0,0,0,19.12,1.06,0,2.12,2.12,1.06,0,0,0,27.61,0,1.06,5.31,56.29,0,1.06,4.25,0,0,0,0,0,0,0,0,4.25,1.06,1.06,4.25,0,0
 96-106,0,0,0,2.19,0,22.95,1.09,0,1.09,9.84,2.19,0,0,0,0,1.09,1.09,0,18.58,0,1.09,0,44.81,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,4.37,1.09,0
108-118,0,0,0,5.36,0,18.38,0,0,0,8.43,0.77,0,0.77,0,0.77,0,1.53,0,6.13,0,2.3,0,48.26,0,0.77,0,0,0,0.77,0,0,0,0,0,0.77,0,1.53,2.3,0,0
120,0,0,0,0,0,31.36,0,0,0,9.8,1.96,0,0,3.92,0,0,0,0,15.68,0,0,3.92,47.03,0,1.96,0,0,0,0,0,0,0,0,0,5.88,1.96,0,0,0,0
