stage,endocrine.pancreas,epidermis,eye,glial,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0
 14-21,0,0,0,0,0,0,0,1,1,0,1,1
 24-34,0,0,0,0,3.28,0,0,0.82,1.64,0,0,2.46
 36-46,0,0,0.81,0,0,0.81,0.81,0,1.61,0,0,0
 48-58,0,0,0,0.57,0,1.15,0,0,1.72,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,1.96,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,1.06,2.12,0,1.06,0,0,1.06,1.06,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0.77,0,1.53,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0
