stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1686.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,686.52,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,31.54,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,6.29,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,138.47,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,20,0,2,0,0,1,0,3,1,9,16,8,0,0,0,0,0
 24-34,0,0,0.82,0.82,1.64,6.57,0,0,0,0.82,0,0,0,0.82,0,0,0,17.24,0.82,2.46,0,0,0.82,53.36,0,5.75,0.82,0,4.93,0,0,0,0,0.82,7.39,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,15.31,0,0,0,3.22,0,0,0.81,0,0,0,0,4.83,7.25,1.61,0,0,0.81,33.84,0,7.25,0,0,1.61,0,0,0.81,0,0,8.06,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,17.79,0,0,0,5.74,0,1.15,0,0,0,0,0.57,1.72,6.31,1.72,0,0,0,30.41,0,4.02,0,0,1.15,0,0,0,0,0,7.46,0,0,0,0,1.15
 60-70,0,0,0,0,0,18.65,0,0,0.98,8.83,0,0,0,0,0,0,0,0.98,0.98,1.96,0,0,0,20.61,0,6.87,0,0,0.98,0,0,0,0,0,3.93,0,1.96,0,0,0.98
 72-82,0,0,0,2.94,1.96,16.69,0.98,0,0,15.71,1.96,0.98,0,0,0,0,0.98,0.98,0,6.87,0,0,1.96,17.67,0.98,8.83,2.94,0,0,0,0,0,0,0,3.93,0,0,0.98,0.98,0
 84-94,0,0,1.06,3.19,3.19,10.62,0,0,0,12.74,7.43,0,0,1.06,0,1.06,0,2.12,1.06,9.56,1.06,0,0,14.87,0,7.43,0,0,12.74,0,0,0,0,0,0,1.06,0,3.19,2.12,1.06
 96-106,0,0,0,1.09,1.09,19.67,0,1.09,1.09,9.84,6.56,0,0,0,1.09,0,1.09,4.37,0,4.37,1.09,1.09,1.09,16.39,0,15.3,3.28,0,8.74,0,0,2.19,0,0,0,0,0,1.09,0,0
108-118,0,0,0,2.3,1.53,10.72,0,0,0.77,12.26,13.79,0,0,0,2.3,0,0.77,6.89,0,5.36,0,0,0.77,22.98,0,5.36,3.06,0,8.43,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,9.8,1.96,5.88,0,0,0,13.72,9.8,0,0,1.96,3.92,0,0,5.88,0,7.84,0,0,1.96,23.52,0,1.96,1.96,0,15.68,0,0,0,0,0,1.96,1.96,0,0,0,0
