stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,1.64,4.1,0,0,0,0,0,1.64,0.82,0.82,0
 36-46,0.81,0,0.81,18.53,0,0,1.61,0,0,0,0,0,0,0,0.81,5.64,0.81,0,0,0,0,10.47,1.61,0,0
 48-58,0.57,0,6.31,20.66,0,0,0.57,0,0,0,0,0,1.72,0,0,8.03,0,0,0,0,0,18.94,1.72,0,0
 60-70,0,0,0.98,23.56,0.98,0,1.96,0,0,0,0,0,3.93,0,1.96,5.89,0,0,0.98,0,0,26.5,0.98,0,0
 72-82,0,0.98,2.94,10.8,0,0,11.78,0,0,0,0,0,3.93,0,0.98,5.89,0,0.98,0,0,0,20.61,0.98,0,0.98
 84-94,1.06,0,3.19,24.43,0,0,2.12,0,1.06,2.12,1.06,0,1.06,0,2.12,6.37,0,0,0,0,0,29.74,0,0,0
 96-106,1.09,2.19,3.28,31.69,0,1.09,15.3,0,1.09,1.09,0,1.09,7.65,0,4.37,8.74,1.09,1.09,0,1.09,0,22.95,0,0,0
108-118,3.06,1.53,2.3,30.64,0,0,12.26,0.77,0,0,0,0,3.83,0.77,5.36,9.96,0,0.77,0,0.77,0,23.74,0.77,0,0
120,0,0,0,27.44,0,0,11.76,0,0,0,0,0,3.92,0,7.84,1.96,0,1.96,0,0,0,7.84,0,0,0
