stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,2.46,1.64,0,0,0,0,3.28,0,0.82,4.1,0,0,0,0,1.64,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,15.31,0,10.47,0.81,0,0,0,0,0.81,0,0,0,0.81,0,0.81,0,0
 48-58,0,0.57,0,0,1.15,0.57,0,0.57,0.57,0,0.57,8.03,0,0,0,0,9.18,0,27.54,2.3,3.44,0,0,0,3.44,0,0,0,5.74,0,1.72,0,0
 60-70,0.98,0.98,0.98,0,2.94,0,0,1.96,0,0,0.98,16.69,0,0,0,0,28.46,0,53,6.87,5.89,0,0,1.96,5.89,0,0,0,0.98,0,13.74,0,15.7
 72-82,0,0.98,1.96,0,12.76,0,0,3.93,1.96,0.98,10.8,33.38,0,0.98,0,0.98,78.53,0.98,80.5,7.85,12.76,0,0.98,0.98,15.71,0.98,0,0,8.83,0,30.43,0.98,55.95
 84-94,0,5.31,3.19,0,16.99,0,0,0,0,2.12,3.19,50.98,0,0,0,0,37.17,0,87.09,6.37,1.06,0,0,0,6.37,1.06,0,1.06,3.19,0,22.3,2.12,64.78
 96-106,1.09,3.28,2.19,0,20.76,0,2.19,1.09,6.56,1.09,10.93,74.31,1.09,1.09,1.09,1.09,78.68,0,55.74,12.02,12.02,1.09,0,3.28,31.69,3.28,0,1.09,1.09,0,22.95,4.37,92.89
108-118,0,2.3,1.53,0.77,7.66,0.77,1.53,2.3,2.3,2.3,3.83,67.4,0,3.83,0,0.77,79.66,0,58.98,5.36,18.38,0.77,0,0.77,27.57,1.53,0,1.53,1.53,0.77,9.96,1.53,60.51
120,0,9.8,0,0,1.96,0,1.96,0,1.96,3.92,7.84,129.35,0,1.96,0,0,99.95,0,94.07,11.76,21.56,0,0,1.96,39.2,0,0,0,1.96,0,25.48,7.84,99.95
