stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,10.51,0,0,0,0,0,0,0,0,89.38,0,0,0,42.06,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,78.67,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,1,0,0,0,0,0,0,0,1,13,1,0,1,0,0,2,4,1,3,8,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,1.64,3.28,0,0,0,0,0,6.57,0,0,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0.81,0,0.81,2.42,0,0,4.03,0.81,0.81,0,0,0,3.22,0,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0.57,1.15,0,0.57,0,0,0,0,1.15,6.31,0,0,0,0,0,2.87,0,0,0,1.15,0,0
 60-70,0,0,0,0,5.89,0,0.98,1.96,0,0,0,0,0,0,0,8.83,0,0,0,0,0,2.94,0,0,0,0.98,0,0
 72-82,0,0,0,0,4.91,0,2.94,0,0,1.96,0,0,2.94,0,0,10.8,0,0,0,0,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,4.25,0,3.19,2.12,0,0,0,0,1.06,0,0,5.31,0,0,0,0,0,10.62,0,0,0,1.06,1.06,0
 96-106,0,0,1.09,0,4.37,0,5.46,0,0,2.19,1.09,1.09,0,0,0,1.09,0,0,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,0,0,6.13,0,0.77,0.77,0.77,0.77,0,0.77,0,0,0,1.53,0,0,0,0,0.77,4.6,0,0,0,0,0,0
120,0,0,0,0,3.92,0,0,1.96,0,0,3.92,0,1.96,1.96,0,5.88,0,0,0,0,0,13.72,0,0,0,0,1.96,0
