stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,5.26,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,9,0,0,1,0,0,102,1,0,0,1,1,0,0,0,0,0
 24-34,0,0,1.64,0,0,1.64,0,0,0,1.64,0,0,0.82,0,6.57,0,0,0,0,4.93,0.82,0,3.28,30.37,0,1.64,0,0,0,71.41,0,0,0,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,0,0,0,4.03,0,1.61,0,0.81,0,1.61,0.81,0.81,5.64,0,0,0,0,2.42,0,0,0.81,46.73,0,1.61,0,0,0,82.98,0,0.81,0,0,8.06,0,0,0,0,0
 48-58,0,0,1.15,0.57,0,14.35,0.57,0,0,2.87,0,5.16,0.57,0,1.15,0,0,0,0.57,5.74,1.15,0,0,39.02,0,2.3,0,0,0,52.79,0,0,0.57,0,6.31,0,0,1.72,0,0.57
 60-70,0,0,2.94,0.98,0,17.67,0,1.96,0,6.87,0,2.94,0,0.98,0.98,0,1.96,0,0,7.85,3.93,0.98,0.98,47.11,0,2.94,0,0,0.98,68.71,0,0,0,0,5.89,0,0.98,1.96,0,0
 72-82,0,0,9.82,3.93,0,18.65,0,0,0.98,10.8,0.98,0.98,0.98,1.96,6.87,0,0.98,0,0,11.78,2.94,0.98,3.93,50.06,0,1.96,0,0,0,61.84,0,0.98,0,0,1.96,3.93,0,2.94,0,0.98
 84-94,0,0,10.62,2.12,0,16.99,0,2.12,2.12,4.25,1.06,4.25,2.12,2.12,5.31,1.06,0,0,0,8.5,5.31,1.06,3.19,18.05,0,1.06,1.06,0,0,207.1,0,2.12,0,0,3.19,16.99,1.06,3.19,2.12,0
 96-106,0,0,28.41,1.09,0,19.67,0,1.09,0,6.56,1.09,0,0,3.28,12.02,1.09,2.19,1.09,0,9.84,3.28,1.09,0,20.76,1.09,8.74,0,0,0,137.7,0,0,1.09,0,2.19,40.44,0,3.28,0,0
108-118,0,0,29.87,2.3,0.77,12.26,0,1.53,0,3.83,1.53,0,0.77,3.83,8.43,0,1.53,0,0,9.19,2.3,2.3,0.77,22.98,0,1.53,0.77,0,0.77,98.04,0,0,0,0,0.77,46.72,0,1.53,0.77,0.77
120,0,0,29.4,5.88,0,15.68,0,3.92,0,1.96,1.96,0,0,3.92,3.92,0,0,0,0,7.84,5.88,1.96,0,11.76,0,3.92,0,0,0,90.15,0,0,0,0,0,11.76,0,0,0,0
