stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,184.49,3320.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579.83,0,0,0,0,0,0,0,0
  5-6,91.94,1195.28,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,6.13,459.72,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,21.03,65.72,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,201.41,0,0,0,9.44,44.06,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,1,7,211,1,0,1,0,1,0,0,9,1,0,18,0,3,0,0,4,3,0,0,16,1,3,65,1,366,1,2,1,0,2,0,0,0
 24-34,0,0,1.64,2.46,57.46,0,0,2.46,0,5.75,0,0,2.46,0.82,0,46.79,0,20.52,0,0,3.28,11.49,0,0.82,39.4,0,13.13,24.63,0,348.86,0,0,2.46,0,0.82,0,0,0
 36-46,0,0,0,0,23.36,0,0,3.22,0,4.03,0,0,0,1.61,0,21.75,0,9.67,1.61,0,2.42,8.86,0,0.81,31.42,0,8.86,16.11,0,296.49,0,0,1.61,0,3.22,0,0,0
 48-58,0,0,0,0.57,24.1,0,0,1.72,0.57,9.18,0,2.3,0.57,8.03,0,8.61,0,16.07,0,0,2.3,2.87,0,0.57,28.12,0,5.16,9.75,0,185.91,0,0,0,0,4.02,0,0,0
 60-70,0,0,0,0,35.33,0,0,5.89,0,20.61,0,0,0,5.89,0.98,8.83,0,13.74,0,0,0,4.91,0,0,12.76,0,4.91,9.82,0,224.77,0,0,0,0,0.98,2.94,0.98,0
 72-82,0,0,3.93,0,36.32,0,0,3.93,0,14.72,0,1.96,10.8,1.96,1.96,13.74,0,25.52,0,0,3.93,17.67,0.98,0,12.76,0,4.91,20.61,0,284.68,0,0,0,0,1.96,8.83,1.96,0.98
 84-94,0,0,3.19,0,70.09,0,0,1.06,1.06,28.68,0,2.12,18.05,5.31,1.06,23.36,1.06,27.61,2.12,0,2.12,12.74,0,0,7.43,0,19.12,15.93,0,586.24,0,0,2.12,0,1.06,26.55,0,1.06
 96-106,0,0,4.37,0,121.31,1.09,1.09,7.65,0,30.6,0,2.19,32.79,0,2.19,26.23,0,29.51,2.19,0,3.28,21.86,0,0,22.95,1.09,19.67,16.39,0,504.9,0,0,1.09,1.09,1.09,57.92,1.09,0
108-118,0,0,1.53,0,102.64,0,0,4.6,0.77,36.77,0.77,0,41.36,0,4.6,35.23,0,16.85,0.77,0,3.06,25.28,0,1.53,9.19,0,13.79,17.62,0,382.22,0,0,0.77,0,0,55.92,0.77,0
120,0,0,0,0,96.03,0,0,1.96,0,29.4,0,0,25.48,0,0,17.64,0,11.76,0,1.96,0,11.76,0,0,25.48,0,7.84,19.6,0,293.97,1.96,0,0,0,0,21.56,0,0
