stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,698.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,55.17,594.57,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,18.39,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,21.03,0,0,0,15.77,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,252.36,21.03,0,0,126.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,25.18,0,0,107,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,2,0,2,0,0,0,1,1,1,1,0,0,0,0,0,1,2,0,0,1,29,0,0,0,1,0,0,7,0,4,6,0,0,0,0,0
 24-34,0,0,0,0.82,1.64,0,0,6.57,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0.82,4.1,0,0,0.82,36.94,0.82,0,0,0,0,0.82,0.82,0,0,13.13,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,0,8.06,0,0,0,3.22,0,0,0,0,0,0,0.81,0,0,5.64,0,0,0.81,68.48,0,0,0.81,0,0,0,0,0,0,11.28,0,0,3.22,0,0
 48-58,0,0,0,0,0.57,0,0,25.25,0,0,0,2.3,0,0,0.57,1.72,0,0,0,0,0.57,8.03,0,0,1.72,57.38,0.57,0,0.57,0,0,1.15,0,0.57,0,9.18,0,0.57,1.15,0,0
 60-70,0,0,0,0,0.98,0,0,47.11,0.98,0,0.98,12.76,0,0,0,2.94,0,0.98,0,0.98,0,26.5,0,0,0.98,151.15,0.98,1.96,0,0,0,2.94,0,0,0,27.48,0,2.94,0,0,0
 72-82,0,0,0.98,0,4.91,5.89,0,69.7,0,0,0.98,30.43,0,0,0,2.94,0.98,0,0,0,0,47.12,0,0,5.89,120.74,0,1.96,0,0,0,0.98,0,0,0,12.76,0,0.98,5.89,0.98,0
 84-94,0,0,0,1.06,4.25,4.25,0,29.74,0,0,1.06,14.87,3.19,0,0,4.25,0,1.06,0,0,0,28.68,2.12,2.12,3.19,47.79,1.06,2.12,0,0,0,1.06,0,1.06,0,7.43,0,1.06,0,0,1.06
 96-106,0,0,1.09,0,3.28,8.74,1.09,15.3,0,0,0,15.3,0,0,1.09,2.19,1.09,0,1.09,0,0,22.95,1.09,2.19,1.09,32.79,1.09,2.19,0,0,1.09,1.09,0,0,0,4.37,2.19,1.09,3.28,1.09,2.19
108-118,0,0,0,0,3.06,3.83,0,18.38,0.77,1.53,2.3,4.6,1.53,0,0.77,2.3,0.77,0.77,0,0.77,0,24.51,0.77,0,1.53,62.81,0.77,0.77,2.3,0,0,3.06,0,0,0,5.36,1.53,1.53,3.06,0.77,0.77
120,0,0,0,0,7.84,1.96,0,15.68,0,0,0,13.72,0,0,1.96,11.76,0,0,0,0,0,21.56,0,0,1.96,66.63,1.96,0,1.96,0,1.96,5.88,0,0,0,1.96,0,1.96,9.8,0,0
