stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,55,0,1,0,1,0,1,37,0,0,0,0,0
 24-34,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,281.55,0.82,9.85,4.1,0,0,0.82,104.25,0,0,0,0,0
 36-46,0,0,0,0,0,0,27.39,0,0.81,0,4.03,0,0.81,0,0,0,0,0,0,0,0,0.81,725.1,0,9.67,2.42,0,0,0,157.91,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,100.42,0.57,0.57,0.57,10.33,0,0.57,0,0,0,1.15,0,0.57,5.16,0,1.15,914.07,0,4.59,5.16,0,0,0,148.04,0,0,0.57,0,1.15
 60-70,0,0.98,0,0,0,0,236.55,0,0,0,15.7,0.98,0,0,0,0,0,0,0,9.82,0,0.98,1088.51,0,3.93,9.82,0,0.98,0,150.17,0,0,0,0,0.98
 72-82,0,1.96,0,4.91,1.96,0,235.6,0,0,0,21.6,0.98,0,0,0,1.96,2.94,0,0.98,13.74,0,0,909.02,0,12.76,14.72,0,0,0,81.48,0,0,1.96,0,0
 84-94,0,0,0,4.25,1.06,0,150.81,2.12,0,0,22.3,4.25,1.06,0,0,0,1.06,0,0,7.43,0,0,451.37,0,6.37,29.74,0,0,0,42.48,1.06,1.06,1.06,0,0
 96-106,0,3.28,0,7.65,0,0,132.23,1.09,1.09,1.09,14.21,0,1.09,1.09,0,0,5.46,1.09,0,8.74,0,0,370.48,0,9.84,37.16,0,1.09,0,19.67,0,0,0,0,0
108-118,0,1.53,0,7.66,0.77,0.77,98.81,0,0,0.77,16.85,0,0,0.77,0,0,3.83,0,0,5.36,0.77,0.77,393.7,0.77,7.66,23.74,0,3.06,0,13.79,0.77,0,0.77,0.77,0
120,0,0,1.96,1.96,0,0,52.91,0,0,1.96,11.76,0,1.96,0,1.96,0,3.92,0,0,7.84,0,3.92,337.08,0,5.88,21.56,0,1.96,0,7.84,3.92,0,1.96,0,0
