stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,21.03,2.63,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,40.91,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,1,2,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,2,2,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,1.61,0,1.61,0,0,0,0.81,0,0,8.06,0,0,0,0.81,0,0,0.81,0,0
 48-58,0,0,0,0,0,1.15,0.57,0,0,0,0.57,1.15,0,0,4.59,0,0.57,0,0.57,0,0,2.87,0.57,0
 60-70,0,0,0,0.98,0,1.96,0,0.98,0,0,0,0.98,1.96,0,4.91,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,4.37,0,0,0,0,0,3.28,0,1.09,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,2.3,0,0,0,0.77,0,1.53,0,0,5.36,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,1.96
