stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,3531.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,398.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,26.29,7.89,0,0,7.89,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,44.06,0,6.29,0,0,0,0,0,0,135.32,0,0,0,0,0,0,0,0,0,0,0,236.02,18.88,0,0,75.53,0,0,6.29,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,3,141,21,0,6,1,0,0,13,12,2,0,0,0,0,2,0,59,0,0,68,74,1,0,0,4,0,0,0,6,6,20,27,0,0,7,0,0
 24-34,0,0,2.46,8.21,138.72,1.64,0,26.27,0.82,4.1,3.28,4.93,0,4.1,0,0.82,0.82,0.82,5.75,0,55.82,0.82,1.64,22.98,36.12,1.64,1.64,1.64,0,0,0,0,0,4.93,7.39,19.7,0,0,22.98,0,0
 36-46,0,0,0.81,0.81,58.81,0.81,0,12.89,1.61,3.22,1.61,3.22,0.81,6.45,0,0.81,0,1.61,2.42,0,66.87,0,1.61,24.17,25.78,2.42,3.22,2.42,0,0.81,0,0,0,2.42,0,14.5,0,1.61,29,0,0
 48-58,0,0,0,0,43.61,0,0,10.9,4.02,17.21,3.44,1.72,1.15,5.16,0,0,1.15,1.15,1.72,0.57,67.71,0,2.87,34.43,39.02,1.72,1.15,1.72,0,0,0,0,0,2.3,0,10.9,0,0,18.94,0,1.72
 60-70,0,0,0.98,0,53,0.98,0,24.54,8.83,17.67,2.94,7.85,0.98,4.91,0,0,0,1.96,4.91,0,108.95,0,6.87,15.7,40.24,0.98,0.98,1.96,0,1.96,0,0,0,0,0,9.82,0.98,2.94,13.74,0,0
 72-82,0,0,0.98,0,74.61,0,1.96,17.67,2.94,37.3,12.76,7.85,0.98,10.8,0.98,1.96,6.87,1.96,2.94,0,143.32,0.98,5.89,26.5,48.1,0.98,0.98,5.89,0,1.96,0,0,0,1.96,0,10.8,0,2.94,26.5,0.98,0.98
 84-94,0,0,1.06,2.12,146.56,0,2.12,42.48,20.18,24.43,13.81,19.12,0,5.31,0,2.12,1.06,1.06,5.31,0,89.21,0,9.56,19.12,38.23,1.06,2.12,2.12,0,1.06,2.12,0,0,1.06,0,3.19,4.25,3.19,18.05,4.25,1.06
 96-106,0,0,2.19,0,133.33,2.19,5.46,41.53,9.84,30.6,9.84,15.3,0,2.19,1.09,2.19,0,0,4.37,0,101.63,2.19,15.3,13.11,39.34,5.46,4.37,4.37,0,1.09,0,0,0,2.19,0,2.19,0,4.37,22.95,2.19,0
108-118,0,0,0.77,0.77,106.47,0.77,9.19,55.92,14.55,20.68,7.66,16.85,0,2.3,0.77,4.6,1.53,0,2.3,0,78.89,0.77,2.3,16.09,24.51,2.3,0.77,3.06,0,1.53,1.53,0,0,2.3,0,5.36,0.77,0.77,14.55,1.53,0
120,0,0,0,0,109.75,0,3.92,23.52,5.88,29.4,7.84,5.88,0,3.92,0,3.92,3.92,0,1.96,0,47.03,0,3.92,7.84,13.72,3.92,1.96,1.96,0,3.92,3.92,0,0,1.96,0,1.96,0,1.96,13.72,1.96,0
