stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,1,0,0,0,2,0,0,1,9,0,1,0,1,0,1,2,6,0,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,6.57,0,0.82,0,3.28,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,1.61,0,0,0,20.14,0,0.81,0.81,22.56,0,0.81,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,22.38,0,0,0,5.16,0,0.57,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,4.91,0,0.98,1.96,25.52,0,2.94,0.98,7.85,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0.98,0.98,32.39,0,0,0,1.96,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,3.19,0,0,0,0,0,61.6,1.06,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,56.83,0,0,0,5.46,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0.77,2.3,0,0,1.53,49.79,0,0.77,0,4.6,0,0,0,0,0,0,0,0,2.3,0
120,0,0,0,0,0,1.96,0,0,0,60.75,0,0,0,9.8,0,0,0,0,0,0,0,0,1.96,0
