stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,14,2,1,0,1,0,0,0,0,0,1,0,0,5,0,2,26,1,0,1,1,0,0,4,0,0,2,27,0,1,0,0
 24-34,0,0,4.1,0,4.1,0,0,0.82,0,0,0,0,0,0,0,5.75,0,1.64,54.18,1.64,0,3.28,0,0,4.93,0,1.64,1.64,1.64,17.24,0,0.82,0,0
 36-46,0,0,3.22,0,8.06,0,0,0,6.45,0.81,0.81,0.81,0,0,0,21.75,0,3.22,130.52,0,0,3.22,0,0,5.64,0,2.42,0,0.81,8.86,0,2.42,0,0.81
 48-58,0,0,1.15,0,17.21,0,1.15,0.57,22.38,0,0,0,0,0,0,37.3,0,7.46,214.6,0,0,6.89,0,0,4.02,0,2.3,0.57,0,22.38,0,1.72,0,0.57
 60-70,0,0,2.94,0.98,29.45,0,0,0.98,32.39,0,0.98,0,0,0,0.98,35.33,0,3.93,260.1,0.98,0,8.83,0,0,0,0,0,0,0,34.35,1.96,1.96,0.98,0
 72-82,0,0,1.96,1.96,40.25,0,0,5.89,27.49,4.91,0.98,0.98,0.98,0,0,47.12,0,2.94,200.26,0,0.98,12.76,0,0,0,0,0,0,0,18.65,0.98,1.96,0,0
 84-94,0,0,7.43,2.12,31.86,1.06,1.06,2.12,21.24,1.06,1.06,1.06,0,0,1.06,38.23,2.12,2.12,120.01,0,0,13.81,0,1.06,1.06,0,0,0,0,6.37,1.06,0,2.12,0
 96-106,0,1.09,3.28,2.19,24.04,0,0,0,17.49,1.09,0,0,0,0,0,33.88,1.09,1.09,124.58,1.09,1.09,26.23,0,1.09,0,0,1.09,0,0,2.19,2.19,3.28,1.09,0
108-118,0,0,5.36,0,22.21,0,1.53,2.3,15.32,0.77,0,0.77,0.77,0.77,0,19.92,0,2.3,114.13,0,0,10.72,0,0,0.77,0,0,0,0,4.6,0,0.77,0.77,1.53
120,0,0,1.96,0,13.72,0,0,0,9.8,1.96,0,1.96,1.96,0,0,17.64,0,1.96,143.06,0,0,9.8,0,0,0,0,0,0,0,3.92,1.96,1.96,0,0
