stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,9.44,0,0,59.79,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,9,3,1,0,0,0,10,0,0,0,2,0,0,6,0,0,0,0,53,0,17,0,1,0,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,4.93,0,0,0,0,0,1.64,4.93,0,0,0,0,0,0,1.64,3.28,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,9.67,0,0,0,0.81,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,1.72,0,3.44,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0.98,0,2.94,0.98,0.98,0,1.96,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0.98,0.98,0.98,0,0,0,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,7.43,1.06,2.12,1.06,2.12,0,0,0,1.06,1.06,1.06,2.12,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,2.19,0,10.93,2.19,2.19,2.19,8.74,0,0,0,7.65,0,0,3.28,0,0,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,27.57,0,27.57,1.53,3.83,3.83,3.83,0.77,0,0.77,10.72,0,0.77,3.83,0,0,0,2.3,0,0,0,0.77,0,0,0.77
120,0,0,0,5.88,0,5.88,1.96,1.96,0,3.92,1.96,1.96,0,13.72,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0
