stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,1.64,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,4.03,0.81,0,0,0,2.42,0,2.42,0,1.61,0
 48-58,0,0,0.57,0,6.31,0,0,0,0,0,0,0,0.57,3.44,1.72,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,59.87,0,0,0,0,0,3.93,0,0,1.96,1.96,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0.98,358.31,0,3.93,0.98,1.96,0,6.87,0,0.98,11.78,0.98,0,0,0,0.98,0.98,0,0.98,0,0
 84-94,0,0,4.25,0,333.48,1.06,0,0,0,0,5.31,0,0,8.5,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,7.65,1.09,486.32,0,4.37,1.09,1.09,0,9.84,0,2.19,13.11,2.19,0,0,0,3.28,0,1.09,0,0,0
108-118,0,0,0,3.06,374.56,0.77,3.06,0,0,0,6.13,0,2.3,17.62,0,0.77,0,0.77,3.83,0,0.77,0,0.77,0.77
120,0,1.96,1.96,0,407.64,0,3.92,1.96,0,1.96,1.96,1.96,0,21.56,0,0,0,0,3.92,0,0,0,0,0
