stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,4,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,15.6,0.82,0,0,0,7.39,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,18.53,0,0,0,0,7.25,0.81,3.22,0.81,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,1.15,0,0.57,0,0,0,0.57,0,0,0,2.3,0.57,0,10.9,0,0.57,0,0,2.87,0,1.72,0.57,0,0
 60-70,0,0,0,0,0,0,4.91,0.98,0,0.98,1.96,0,0,0.98,0.98,1.96,0,0,0,1.96,0,0,8.83,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,0,0,8.83,0,0,5.89,26.5,0,0,0,0,1.96,0,0,0,10.8,0,0.98,18.65,0,0,0,0,2.94,0,0,0,0,1.96
 84-94,0,0,0,0,0,0,2.12,0,0,1.06,53.1,0,0,1.06,0,1.06,0,1.06,0,3.19,0,0,7.43,0,0,0,0,12.74,4.25,0,0,0,0
 96-106,0,0,1.09,3.28,0,1.09,9.84,0,2.19,3.28,147.53,1.09,0,3.28,0,2.19,0,64.48,0,5.46,0,0,55.74,0,1.09,0,0,9.84,4.37,0,0,0,0
108-118,0,0,0,1.53,0,1.53,6.13,0,0,0.77,124.09,0,0,0.77,0,2.3,0,60.51,0.77,5.36,0,0.77,40.6,0,0.77,0,0,4.6,3.83,0,0,0.77,0
120,0,0,0,1.96,0,0,1.96,0,0,3.92,47.03,0,1.96,0,0,3.92,0,68.59,0,1.96,0,0,17.64,0,0,0,0,5.88,0,0,1.96,0,0
