stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,52.71,2609.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,36.78,1219.8,0,6.13,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,0,30.65,18.39,0,0,0,0,0,0,0,0
  7-9,7.89,21.03,0,23.66,0,0,26.29,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,341.73,10.51,0,0,160.35,2.63,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,141.61,0,0,0,78.67,0,0,3.15,12.59,0,0,0,0,0
 14-21,0,0,0,1,27,3,9,0,0,7,0,0,0,0,1,0,0,0,0,7,0,0,3,233,0,3,1,5,23,0,24,0,19,55,0,1,0
 24-34,0,0,0,0,10.67,1.64,82.91,0,0,4.93,0,0,0.82,2.46,1.64,0,0.82,0,0,19.7,0.82,0,10.67,474.45,0,7.39,3.28,0,62.39,0,0,0,3.28,68.95,0,9.03,0
 36-46,0,0,0,0,5.64,3.22,300.51,0,0,13.7,0,0,0.81,6.45,0.81,0.81,0,0,0,24.17,0,0.81,8.06,435.87,0.81,3.22,1.61,0,23.36,0,0,1.61,0,52.37,0,3.22,0.81
 48-58,0,0,0,0,5.16,2.3,497.49,0,0,15.49,0,0,0.57,5.74,0.57,2.3,0,0,0,20.08,0.57,1.72,4.02,259.93,0.57,0,0.57,0.57,10.33,0,0,0,0,20.08,0,2.87,1.72
 60-70,0.98,0,0,0,22.58,0.98,489.78,0,0,28.46,0,0,0,5.89,0,0.98,0,0,0,13.74,0,0.98,2.94,167.84,0.98,0,0.98,0,5.89,0,0,0,0,2.94,0,8.83,0.98
 72-82,0,0,0,0,20.61,1.96,185.53,0.98,0,28.47,0.98,0,0,15.71,0.98,1.96,0,0,0,25.52,0.98,1.96,4.91,139.4,0.98,2.94,0,0,5.89,0,0,0,0,6.87,0.98,10.8,0.98
 84-94,0,0,0,0,26.55,1.06,139.13,0,0,25.49,1.06,0,0,15.93,0,5.31,0,0,0,23.36,0,7.43,11.68,86.03,1.06,0,3.19,0,10.62,0,0,0,0,0,0,10.62,0
 96-106,0,0,0,0,15.3,3.28,89.61,0,1.09,22.95,3.28,0,1.09,18.58,1.09,0,1.09,0,0,21.86,0,3.28,4.37,80.87,0,0,1.09,0,5.46,0,0,0,0,3.28,0,4.37,0
108-118,0,0,0.77,0,12.26,8.43,67.4,0,0,26.04,1.53,0,0,14.55,0,0,0,1.53,0.77,7.66,0.77,1.53,6.13,84.26,0.77,2.3,1.53,0,3.06,0,0,0.77,0,1.53,0.77,9.19,0
120,0,0,3.92,0,9.8,9.8,84.27,0,0,23.52,1.96,0,0,13.72,1.96,1.96,0,1.96,0,5.88,0,1.96,7.84,103.87,0,1.96,0,0,0,0,0,0,0,0,0,13.72,0
