stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,245.19,2041.17,0,24.52,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,521.02,30.65,0,0,232.93,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,147.21,99.89,0,52.57,0,0,0,23.66,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,310.19,147.21,0,0,3125.54,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,56.65,0,40.91,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,157.35,47.2,0,0,1749.71,0,0,3.15,22.03,166.79,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,8,27,45,0,120,0,1,0,2,0,3,2,0,0,0,0,0,207,0,0,490,197,2,1,2,5,0,3,0,539,0,2,1767,17,0,0,1,0,0
 24-34,0,0,0.82,0.82,20.52,4.93,0,347.22,0.82,0.82,2.46,9.85,0,0.82,1.64,0,0.82,1.64,1.64,2.46,352.97,0.82,3.28,553.26,357.89,6.57,4.1,3.28,0,0,7.39,0,6.57,2.46,0.82,169.1,65.67,0,0,7.39,0,0
 36-46,0,0,0,0,9.67,1.61,0,157.91,0.81,0,1.61,14.5,0,0,4.83,0,0.81,0,0,3.22,443.12,0,12.89,207.86,183.69,7.25,0.81,1.61,0,0,5.64,0.81,1.61,0,0,0,84.6,0,1.61,1.61,0,0
 48-58,0.57,0,0,0,13.2,0,0,117.63,0,0,3.44,22.38,0,0,9.18,1.15,1.15,0.57,0,6.89,522.16,0,26.97,145.75,179.6,10.33,1.72,0,0,1.15,0.57,0,0,0,0.57,0,57.38,0,0,1.72,2.3,2.87
 60-70,0,0,0.98,0,9.82,0.98,0,77.54,0.98,0.98,3.93,54.97,7.85,0,9.82,1.96,0,0,0,21.59,536.89,0.98,37.3,108.95,142.32,15.7,0.98,0.98,0,3.93,4.91,0,0,0,0,0,37.3,0,14.72,2.94,11.78,2.94
 72-82,0,0,2.94,0,16.69,0.98,0,107.98,0,0.98,5.89,69.7,93.26,0.98,15.71,3.93,0,2.94,0.98,16.69,775.51,0,63.81,113.87,168.85,15.71,0.98,0,0,6.87,0.98,0,0,0,0.98,0,22.58,2.94,35.34,12.76,42.21,0.98
 84-94,0,0,0,0,18.05,3.19,0,121.07,1.06,1.06,6.37,41.42,211.35,0,13.81,5.31,1.06,0,0,69.03,537.39,0,76.47,99.83,123.2,25.49,1.06,0,0,0,12.74,0,0,0,1.06,0,13.81,0,42.48,9.56,43.54,1.06
 96-106,0,0,3.28,0,24.04,7.65,1.09,115.84,1.09,2.19,3.28,73.22,384.68,0,42.62,10.93,2.19,0,1.09,110.38,526.75,0,68.85,69.94,191.25,39.34,2.19,1.09,0,9.84,10.93,0,0,2.19,0,0,7.65,2.19,31.69,19.67,53.55,3.28
108-118,0,0,0,0,18.38,1.53,1.53,76.6,0,2.3,4.6,41.36,471.83,0,13.02,3.83,1.53,2.3,0.77,96.51,507.07,0,58.98,56.68,176.17,41.36,1.53,0.77,0,9.19,6.13,0,0,0.77,0,0,1.53,0.77,17.62,13.79,41.36,1.53
120,0,0,0,0,23.52,0,0,80.35,0,1.96,3.92,52.91,256.73,0,21.56,1.96,0,1.96,0,27.44,380.2,1.96,56.83,54.87,139.14,54.87,0,0,0,7.84,1.96,0,0,0,0,0,5.88,0,7.84,13.72,35.28,0
