stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,9,0,0,0,0,0
 24-34,0,3.28,0,0.82,0,16.42,0,0,0,0,0,0.82,1.64,0,0,0,0.82,4.1,1.64,0,0,113.28,0.82,0,0,0,0,0,13.13,0,0,0,0,17.24
 36-46,0,1.61,0,0.81,0,32.23,0,0.81,0,0,0,0,1.61,0,0.81,0,0,9.67,0.81,0,0,298.9,4.03,0,0,0,0,0.81,25.78,0,0,0,0,65.26
 48-58,0,2.3,0,0.57,0.57,67.71,0,0,0,5.16,0.57,0,0.57,0,8.61,0.57,0,18.36,6.89,0,1.15,350.02,1.72,0,0,1.15,0,0,37.87,0,0,0,0,88.94
 60-70,0,0,0,0,0.98,114.84,0,0,0.98,5.89,0,0,0.98,0,35.33,0,0.98,6.87,12.76,0.98,0,539.84,1.96,0,0.98,3.93,0,0,64.78,0,0,0,0,62.82
 72-82,0,1.96,0,4.91,1.96,168.85,0,0,0,8.83,0,0,0.98,0,39.27,0,0.98,18.65,9.82,0,0,629.25,0,0.98,0,1.96,0,0,34.36,1.96,0,0,0,60.86
 84-94,0,1.06,0,8.5,0,144.44,0,1.06,0,11.68,0,0,1.06,1.06,22.3,0,1.06,41.42,10.62,0,0,328.17,0,0,0,3.19,0,0,14.87,0,0,0,1.06,44.61
 96-106,0,4.37,0,6.56,2.19,99.45,1.09,0,0,16.39,0,0,5.46,0,8.74,1.09,1.09,39.34,4.37,1.09,0,346.43,2.19,5.46,0,3.28,1.09,0,9.84,0,1.09,0,0,48.09
108-118,0,2.3,0,4.6,1.53,78.13,0,0,0.77,10.72,3.06,0.77,3.83,0,15.32,0,0,58.98,4.6,0,0,350.05,2.3,0,0,2.3,0,0,9.19,1.53,0,0.77,0,43.66
120,0,0,0,9.8,1.96,90.15,1.96,0,0,11.76,0,0,1.96,0,7.84,0,0,19.6,11.76,1.96,0,437.03,1.96,1.96,0,0,0,0,7.84,0,0,0,0,13.72
