stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,3.15,0,0,0,0
 14-21,0,0,29,0,0,0,0,0,0,10,1,0,13,8,0,0,0,0,0,0,2,0,0,0
 24-34,0,0,9.03,4.1,0,0,0.82,0,0,14.78,0,0,2.46,7.39,0,0,0,0,0.82,0,4.1,0,1.64,0
 36-46,0,0,3.22,1.61,0.81,0,1.61,0,0,16.11,0,0.81,0.81,3.22,0.81,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,1.15,1.15,0,0.57,1.72,0,0,17.79,0,0,0.57,1.72,0,0.57,0,0,0.57,0,1.15,0,0.57,0
 60-70,0,0,0,1.96,0,0,1.96,0,0,19.63,0,0,1.96,2.94,0,0,0,0,0,0,1.96,0.98,0,0
 72-82,0,0,0,0,0,0,3.93,0,0,10.8,0,0.98,0,2.94,0,0,0,1.96,0,0,0,0.98,0,0
 84-94,0,0,2.12,2.12,1.06,2.12,3.19,0,0,6.37,0,0,1.06,2.12,0,0,0,0,0,0,1.06,2.12,0,1.06
 96-106,0,0,0,4.37,0,0,1.09,0,0,10.93,0,2.19,0,1.09,1.09,1.09,0,0,0,0,2.19,0,0,1.09
108-118,0,0,1.53,1.53,0,1.53,2.3,0.77,0,4.6,0,0,0,3.06,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,5.88,0,0,1.96,1.96,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0
