stage,blastomeres,endoderm,epidermis,erythrocytes,glial,gut,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,0,0,0,0,34.17,5.26,94.63,0,0,0,0,0,0
 10-12,9.44,12.59,0,0,0,0,0,0,0,0,100.7,6.29,302.11,0,0,12.59,0,0,0
 14-21,0,0,39,12,18,5,0,1,5,8,19,8,28,1,109,5,35,187,3
 24-34,0,0,0,0,7.39,0.82,0,0,0.82,0,4.93,0,0,0,0,0,2.46,39.4,0
 36-46,0,0,0,0,0,0,0,0,1.61,0.81,0,0,0,0,0,0,0,4.83,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0
