stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,14,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0.82,137.9,0.82,0,0,0,0,0,36.12,0,0,0,0
 36-46,0,0,0,0,0,15.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447.15,1.61,0,0,0,0,0,78.96,0,0,0,0
 48-58,0,0,0,1.15,0,70,0,0.57,1.15,8.61,0,0.57,0.57,0.57,0,0,0,0.57,5.16,0,0,0.57,632.33,1.15,0,0,0,0,0,118.78,0,0.57,0,2.3
 60-70,0,0,0,0,0,294.46,0.98,0,0,21.59,0,0,0,0,0,0,0.98,0,5.89,0,0,0,1156.23,0.98,0,1.96,0.98,0.98,0,114.84,0,0,0,0.98
 72-82,0,0,0.98,5.89,3.93,324.93,0,0.98,0.98,19.63,0,0,0,0,0,0.98,0.98,0,19.63,0,0.98,0.98,837.36,0.98,1.96,2.94,0,0,0,79.51,0,0.98,0.98,0
 84-94,0,0,0,5.31,0,196.48,1.06,0,0,19.12,0,0,0,0,2.12,0,0,0,12.74,1.06,0,1.06,426.94,2.12,0,2.12,0,0,0,48.85,0,2.12,0,1.06
 96-106,0,0,0,5.46,1.09,163.93,1.09,0,0,9.84,0,0,1.09,0,0,0,0,0,13.11,0,1.09,2.19,372.66,2.19,0,0,0,0,0,16.39,0,0,0,0
108-118,0,0,0,6.89,0.77,126.38,0,0.77,1.53,9.19,0,0,0.77,0.77,0.77,0.77,0,0.77,6.13,0,0.77,0.77,432,0.77,1.53,0.77,0,0,0,9.96,0.77,1.53,0.77,0.77
120,0,0,0,7.84,3.92,103.87,0,1.96,0,15.68,0,0,0,0,0,0,0,0,3.92,0,1.96,1.96,456.63,1.96,1.96,0,0,0,0,13.72,0,0,0,0
