stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,0,0,0
 24-34,0,0,7.39,0,0,0.82,0,0,0.82,0.82,0,11.49,0,0.82,0,0,5.75,0,0.82,35.3,0,18.06,0.82,182.23,0,0.82,1.64,0,1.64,0,0
 36-46,0,0,4.03,0,0,0,2.42,0,0,4.83,0,8.86,0,0.81,0,0.81,11.28,0,0,77.34,0,10.47,0,218.34,0,0,4.03,0,0,0,0
 48-58,0,0,10.33,0,0,2.3,2.3,1.15,0.57,4.59,0,9.18,0,1.15,0,1.15,12.05,0,0.57,45.33,0,10.33,0,182.47,0,0,2.3,0,0,0,0
 60-70,0,0,36.32,0,0,0.98,3.93,0,0.98,2.94,0,5.89,0,4.91,0,2.94,12.76,0,0,25.52,0,8.83,0,180.6,0,0,0.98,2.94,0,0,0
 72-82,0,0,95.22,0.98,0,8.83,3.93,4.91,10.8,5.89,2.94,24.54,0,24.54,0,7.85,40.25,0,0,37.3,0,8.83,0.98,255.23,0,0,0.98,16.69,0,0,0
 84-94,0,1.06,206.04,2.12,0,6.37,24.43,1.06,46.73,10.62,0,65.85,0,24.43,0,4.25,31.86,1.06,0,19.12,0,24.43,2.12,929.28,4.25,0,0,77.53,0,0,0
 96-106,0,1.09,354.08,3.28,1.09,12.02,25.14,4.37,110.38,1.09,3.28,96.17,0,46.99,4.37,12.02,53.55,0,0,32.79,0,49.18,1.09,783.57,0,0,2.19,137.7,1.09,1.09,0
108-118,0,0.77,344.68,1.53,0.77,3.83,40.6,0,117.19,0,0,91.92,0.77,29.11,2.3,7.66,52.09,0,0.77,22.21,0.77,26.81,1.53,868.6,0,0,0.77,150.13,0.77,0,0.77
120,0,0,241.05,1.96,0,1.96,27.44,1.96,41.16,0,0,25.48,0,19.6,0,1.96,21.56,0,0,21.56,0,23.52,0,442.91,0,0,0,41.16,1.96,0,0
