stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 24-34,0,0.82,5.75,0,0,1.64,0,0,0,0.82,0,1.64,0,1.64,0,0,0,0,3.28,0,0,1.64,5.75,0,0,0,0,0,4.93,1.64,0,0,0,0,0.82
 36-46,0,0,3.22,0,0,0.81,0.81,0,0,0.81,0,2.42,0,0,0,0,0.81,1.61,8.86,0.81,0,1.61,4.83,0,0,0,0,0,4.03,0.81,0,0,0,0,9.67
 48-58,0,0,1.15,0,0,2.87,0,0,0,0,0,0,0,0,0.57,1.15,0,8.61,9.75,0,0,0.57,9.18,0.57,0,0,0,0,2.3,0,0,1.15,0,0,13.2
 60-70,0,0,12.76,0,0,4.91,3.93,0,0,2.94,0.98,0.98,0,0,1.96,0.98,0,9.82,23.56,0.98,1.96,0.98,7.85,0,0,0,0,0,2.94,0.98,0,0.98,0,0,24.54
 72-82,0,0,11.78,0.98,0,9.82,0.98,0.98,0,3.93,0,0,0,0.98,3.93,0.98,0,13.74,51.05,0,0.98,4.91,11.78,0,0,2.94,0,0.98,0.98,1.96,0.98,4.91,2.94,1.96,13.74
 84-94,0,0,24.43,0,0,9.56,4.25,2.12,2.12,1.06,0,0,0,1.06,9.56,0,0,37.17,22.3,0,3.19,0,4.25,0,0,1.06,1.06,0,1.06,0,0,2.12,2.12,1.06,22.3
 96-106,0,0,8.74,0,0,10.93,3.28,0,1.09,1.09,1.09,1.09,0,0,9.84,2.19,1.09,26.23,56.83,1.09,5.46,0,10.93,1.09,1.09,1.09,4.37,0,4.37,1.09,0,8.74,4.37,9.84,17.49
108-118,0,0,16.85,0.77,0.77,9.19,4.6,1.53,0,5.36,2.3,1.53,0.77,0.77,15.32,0,0,37.53,46.72,0,3.06,3.83,8.43,0,0,0.77,0.77,0,0.77,0,0,2.3,3.83,3.83,22.21
120,0,0,11.76,0,0,7.84,1.96,0,0,3.92,1.96,1.96,0,0,5.88,1.96,0,15.68,41.16,1.96,3.92,1.96,5.88,0,1.96,0,1.96,0,0,0,0,3.92,0,0,7.84
