stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,5.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,13.74,1.96,70.68,63.81,2.94,1.96,1.96,21.6,2.94,0,0,4.91,1.96,3.93,0.98,1.96,0,46.14,2.94,1.96,5.89,179.64,0,2.94,3.93,0,1.96,15.71,0.98,0,0,0.98,12.76,0.98,2.94,8.83,4.91,0
 84-94,0,0,1.06,0,7.43,4.25,149.75,36.11,0,3.19,1.06,11.68,0,0,0,1.06,0,0,0,2.12,0,23.36,1.06,0,3.19,107.27,0,3.19,0,0,0,16.99,0,0,0,0,8.5,1.06,1.06,2.12,1.06,1.06
 96-106,1.09,0,5.46,1.09,121.31,99.45,314.74,333.32,4.37,21.86,17.49,109.28,41.53,1.09,10.93,42.62,18.58,7.65,14.21,44.81,0,271.03,18.58,19.67,41.53,676.47,7.65,30.6,25.14,0,6.56,189.06,1.09,0,3.28,2.19,27.32,7.65,10.93,65.57,17.49,14.21
108-118,0,0,9.96,0.77,162.38,62.81,650.3,521.62,11.49,30.64,25.28,170.04,56.68,0,5.36,44.43,19.92,29.87,13.79,59.75,15.32,408.26,13.79,16.09,64.34,1161.97,16.09,15.32,22.21,0,13.79,231.32,0,0,6.89,5.36,28.34,10.72,8.43,47.49,13.02,40.6
120,0,0,1.96,0,158.74,60.75,295.93,303.77,13.72,21.56,25.48,145.02,31.36,0,7.84,48.99,1.96,5.88,1.96,35.28,0,293.97,7.84,7.84,64.67,948.54,11.76,15.68,27.44,0,3.92,119.55,0,1.96,3.92,1.96,33.32,11.76,9.8,25.48,3.92,9.8
