stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,1,0,8,131,22,47,0,0,0,14,3,247,1,3,8,0,2,0,52,0,0,49,723,25,1,7,12,0,35,102,3,12,114,201,0,13,4
 24-34,0,0,5.75,66.49,13.13,132.16,1.64,7.39,4.93,33.66,4.1,77.16,2.46,3.28,9.03,1.64,6.57,9.85,111.64,3.28,0.82,53.36,1377.4,13.95,17.24,9.03,0,1.64,74.7,0.82,9.85,9.85,36.94,288.12,0,43.51,5.75
 36-46,0,0.81,0,10.47,0,27.39,0,0,1.61,3.22,0,23.36,2.42,1.61,0.81,0,0.81,0,23.36,4.03,0,8.06,236.87,3.22,0.81,1.61,0,0,12.89,0,0.81,1.61,1.61,41.09,0,5.64,3.22
 48-58,0,0,0.57,1.72,0,5.16,0,0,0,0.57,0,43.04,0,0,0.57,0,0,0,3.44,3.44,0,2.3,28.69,0,0.57,1.15,0,0,1.15,0,0,0,0,4.59,0,0.57,1.15
 60-70,0,0,0,0,0,2.94,0,0,0,0.98,0,14.72,0,0,0,0,0,0,2.94,0,0,0,9.82,0,0,1.96,0,0,0,0,0,0,0,2.94,0,0,0.98
 72-82,0,0,1.96,0.98,0,0,0,0,0,0.98,0,11.78,0,0,0,0,0,0,4.91,1.96,0,0,7.85,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,2.12,1.06,0,1.06,0,0,0,0,1.06,11.68,0,0,0,0,0,0,3.19,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,3.28,0,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0,0,0,2.19,0,0,2.19,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,9.19,0.77,0,0.77,0,0,0,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0,2.3,0,0,1.53,0,0,0,0,0,0,0,0,0.77,0.77,0
120,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
