stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,54,0,1,0,0,1,1,0,0,16,68,0,0,1,0,0
 24-34,0,0.82,0.82,0,0,0,4.93,9.03,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0.82,0,0,7.39,257.75,0,6.57,0,0,3.28,0,0,0,29.55,112.46,0,0,2.46,0,0
 36-46,0,0,0,0.81,0,0,10.47,4.03,1.61,0,4.03,0,0,0,0,0,0,0,0.81,0,3.22,0,0,3.22,422.17,0.81,8.86,0,0,2.42,0,0,0.81,4.03,122.46,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,30.99,1.15,0,2.3,12.62,0,0,0,0.57,0,0,0,0,0,8.03,0,0,3.44,463.63,0.57,4.59,0,0,1.15,0,0,0,0,105.01,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0,75.58,2.94,0.98,0,10.8,0,0,1.96,0,0,0,0.98,0,0,6.87,0,0,3.93,696.88,0.98,2.94,0.98,0,0.98,0,0,0,0,123.67,0,0,1.96,0,1.96
 72-82,0,0,0,7.85,1.96,0,110.93,0.98,0.98,0,19.63,0,0,0,0,1.96,0,0,0,0,14.72,0,0,2.94,665.57,0,5.89,0,0,0,0,0.98,0,0,82.46,0.98,0,0.98,0,0.98
 84-94,0,0,0,3.19,1.06,0,70.09,0,0,0,20.18,0,0,0,0,1.06,0,0,1.06,0,9.56,0,0,5.31,300.56,0,7.43,5.31,0,4.25,0,0,0,0,38.23,1.06,1.06,0,0,1.06
 96-106,0,1.09,0,7.65,4.37,0,72.13,2.19,1.09,0,16.39,1.09,0,0,1.09,5.46,0,1.09,1.09,1.09,18.58,0,1.09,3.28,309.28,0,8.74,3.28,1.09,2.19,0,0,0,0,22.95,1.09,0,1.09,1.09,0
108-118,0,0,0,8.43,0,0.77,56.68,0.77,0,0.77,13.02,0,0,0,1.53,0,0.77,0,0,0.77,2.3,1.53,0,4.6,328.6,0,7.66,1.53,0,1.53,0,0,0.77,0,16.09,0,0,1.53,0,0.77
120,0,0,0,15.68,1.96,0,72.51,0,1.96,3.92,21.56,0,0,0,0,0,0,0,5.88,0,11.76,0,1.96,11.76,442.91,0,7.84,0,0,3.92,0,0,0,0,21.56,0,0,3.92,0,0
