stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,18.4,0,0,0,0,5.26,0,0,0,0,60.46,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,56.65,0,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,31,0,0,1,0,0,1,1,11,0,0
 24-34,0,0,0,0.82,0,6.57,0,0,0,0,0,0,0,2.46,0,28.73,0,2.46,0,0,0.82,0,0,7.39,0,2.46
 36-46,0,0,0,0,0,1.61,0.81,0,3.22,0,0,0,0,2.42,0.81,27.39,0,0,0,0,0,0,0,4.83,0,0
 48-58,0,0,0,0,0,4.59,0,0,0.57,0,0,0,0,1.72,0,19.51,0.57,1.15,0,0,0.57,0,0,4.02,0,0
 60-70,0,0,0,0.98,0,8.83,0,0,2.94,0,0,0,0,1.96,0,18.65,0,0.98,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0,0,2.94,0,0,1.96,0,0,0.98,0.98,3.93,0,27.49,1.96,0.98,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,2.12,1.06,4.25,0,0,1.06,1.06,0,0,1.06,1.06,0,9.56,1.06,2.12,0,0,2.12,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,2.19,0,1.09,5.46,0,0,0,0,1.09,0,4.37,0,1.09,0,1.09,4.37,0,0,1.09,0,1.09
108-118,0,0,0,2.3,0.77,2.3,0,0,3.06,0.77,0,0,0.77,3.83,0,10.72,1.53,0.77,0,0,6.89,0,0,0.77,0.77,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,1.96,0,0,0,0,1.96
