stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,15.73,0,0,0,22.03,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,1,0,8,0,0,0,0,3,10,11,0,0,0,2,2,315,581,8,0,0,0
 24-34,0,0,0.82,0.82,4.93,71.41,0.82,0,1.64,0,6.57,0.82,0,0.82,0,5.75,25.45,47.61,0,0.82,0,2.46,0,105.89,210.96,18.06,0,0.82,0
 36-46,0,0,0,0.81,1.61,54.79,0,0,0,0,6.45,0,0,0,0,4.83,14.5,24.17,0,0,0,1.61,0,39.48,11.28,4.03,0,0,0
 48-58,0,0,0,0,6.31,33.85,0.57,0,1.72,0,1.72,0,0,0,0,3.44,9.18,16.07,0,0,0,0.57,0,21.8,0,7.46,0.57,0,0
 60-70,0,0,0,0,3.93,49.08,0,0,0,0,1.96,0,0,0.98,0.98,1.96,12.76,5.89,0.98,0,0,0,0,7.85,0,1.96,0,0,0
 72-82,0,0,0,0,4.91,22.58,0,0.98,1.96,0,2.94,0,0.98,0,0,4.91,9.82,11.78,0,0,0.98,1.96,0,10.8,0,0.98,0,0.98,0
 84-94,0,1.06,1.06,0,5.31,32.92,0,0,0,0,1.06,0,0,0,1.06,7.43,10.62,4.25,0,1.06,0,1.06,0,12.74,0,2.12,0,1.06,1.06
 96-106,0,0,1.09,2.19,10.93,34.97,1.09,0,0,1.09,5.46,0,0,0,0,4.37,10.93,7.65,0,0,1.09,1.09,0,17.49,0,1.09,0,2.19,1.09
108-118,0,0,0,0,3.83,33.7,0,0,0.77,0,2.3,0,0,0.77,0,5.36,6.13,6.89,0,0,0,2.3,0,16.09,0,0.77,0,0,0.77
120,0,0,1.96,0,5.88,25.48,0,0,3.92,0,1.96,0,0,0,0,9.8,13.72,7.84,0,0,0,0,1.96,5.88,0,0,1.96,0,0
