stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,21.03,0,0,0,0,0,0,0
 10-12,9.44,9.44,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,292.67,0,0,0,50.35,0,3.15,0,9.44,0,0,0
 14-21,0,2,5,0,2,0,0,0,0,0,0,1,0,1,0,21,0,0,1,0,1,0,5,0,7,0,1
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0.82,1.64,3.28,13.13,0.82,0,0,0,1.64,0,0,0,1.64,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.61,4.03,0,0,0,0,4.03,0,0,0,1.61,0,0
 48-58,0,0,0,0,7.46,1.15,1.72,0,0,0.57,0,0,0,10.33,1.72,25.25,0,1.72,0,0,1.15,0,0,0.57,6.31,0.57,0.57
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,8.83,0,6.87,0,0,0,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,3.93,0,1.96,0,0,0.98,0,0,0,4.91,0,6.87,0,0,1.96,0,2.94,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,7.43,0,2.12,1.06,0,1.06,1.06,0,0,3.19,1.06,7.43,0,0,0,0,5.31,0,0,0,1.06,0,0
 96-106,0,0,1.09,0,2.19,0,1.09,0,0,0,0,1.09,0,0,0,0,0,1.09,0,0,5.46,0,0,0,0,0,1.09
108-118,0,0,2.3,0,5.36,1.53,1.53,0,0,0.77,0,1.53,0,2.3,1.53,12.26,0,0,0.77,0,2.3,0,0,0,0,0,0.77
120,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,3.92,0,17.64,0,1.96,1.96,0,17.64,0,0,0,1.96,0,3.92
