stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,210.85,3320.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1299.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,78.67,3.15,0,0,47.2,0,3.15,0,3.15,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,15,1,12,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,74,4,0,1,4,0,0,16,0,1,29,26,0,0,0,0,0
 24-34,0,0,0.82,25.45,0.82,15.6,0,0,0,0.82,0.82,0,0,2.46,0.82,0.82,0,0,0.82,12.31,0,0,4.93,122.31,0.82,0.82,4.1,0,7.39,0,0.82,0,0,4.1,36.12,0,0,2.46,0,0.82
 36-46,0,0,0,4.03,0.81,18.53,0,2.42,0,3.22,0,0.81,0,0,0,0,0,0.81,0,12.09,0,0,3.22,97.49,0.81,0,2.42,0,3.22,0,0,0,0,0,23.36,0,0,0.81,0,0
 48-58,0,0,0,2.87,0,35,0,0,1.15,7.46,0.57,0,0.57,0,0,0,0.57,0,0,18.36,0,1.72,5.16,77.46,0,0,2.3,0,1.72,0,0,0,0,0,16.07,0,0,1.72,0,0
 60-70,0,0,0,14.72,0,54.97,0.98,2.94,0.98,10.8,0.98,0,0,0,0.98,0,0,0.98,0,17.67,0,0.98,5.89,101.1,0,1.96,0,0,0.98,0,0,0,0.98,0,13.74,0,0,1.96,0,0
 72-82,0,0,0,9.82,1.96,29.45,0,1.96,0.98,17.67,1.96,0.98,0,0.98,0,0.98,0,0.98,0,25.52,0,0,3.93,80.5,0,0,3.93,0,3.93,0,0,0,0,0,5.89,0,1.96,3.93,0,0.98
 84-94,0,0,0,11.68,3.19,26.55,0,2.12,4.25,2.12,2.12,0,1.06,4.25,2.12,0,1.06,1.06,0,20.18,1.06,1.06,8.5,45.67,0,0,1.06,0,13.81,0,0,0,0,0,5.31,1.06,0,4.25,1.06,2.12
 96-106,0,0,0,13.11,0,21.86,0,2.19,2.19,14.21,4.37,0,2.19,4.37,3.28,1.09,1.09,1.09,0,31.69,1.09,1.09,1.09,43.71,0,3.28,3.28,0,12.02,0,0,0,0,0,5.46,0,0,1.09,1.09,4.37
108-118,0,0,0.77,22.98,0.77,17.62,0.77,5.36,1.53,16.09,0.77,0,0,5.36,1.53,0,0,0.77,1.53,23.74,0,0.77,7.66,56.68,0.77,0,1.53,0,14.55,0,0,0.77,0.77,0,3.83,0,0.77,2.3,0,2.3
120,0,0,0,37.24,3.92,13.72,0,3.92,1.96,9.8,1.96,0,0,13.72,3.92,0,0,0,0,25.48,0,0,5.88,58.79,3.92,0,0,0,11.76,0,0,1.96,0,0,1.96,0,0,5.88,0,1.96
