stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,37,11,15,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0.82,2.46,0,0,0.82,4.1,0,0,0,0,0,0,0.82,0,0,4.93,264.32,0,0,127.23,23.8,87.01,0,0,0,0,0,0,0,0.82,4.1,0,0,0,1.64
 36-46,0,0,0,0,0,3.22,1.61,0,21.75,0,0,0,1.61,0,0,0,0,0.81,0.81,387.53,0,15.31,128.1,18.53,116.82,2.42,0,0.81,2.42,0,0,0.81,0,2.42,1.61,1.61,0,8.86
 48-58,1.15,0,0,1.15,0,10.9,1.15,1.15,26.97,12.05,0,0,0.57,0.57,0,0,0,0.57,3.44,716.68,0.57,31.56,87.79,43.04,62.54,0.57,0,4.02,0.57,0,0,0.57,0,5.74,4.59,0,0,20.66
 60-70,0,0,0,4.91,0,8.83,5.89,2.94,22.58,29.45,0,0,0.98,0,0.98,0,0,0.98,2.94,1065.93,0,31.41,56.93,46.13,36.32,1.96,0,3.93,1.96,0,0,0.98,0,2.94,19.63,0,3.93,11.78
 72-82,0,0,0,3.93,2.94,50.06,9.82,0.98,39.27,33.38,0,0,0,0.98,0,0.98,0,0.98,6.87,1319.35,0,21.6,71.66,41.23,35.34,1.96,0,4.91,0.98,0,0,0,0,0.98,28.47,1.96,23.56,11.78
 84-94,0,0,0,7.43,1.06,52.04,9.56,0,14.87,14.87,1.06,0,0,2.12,2.12,1.06,0,1.06,2.12,883.62,0,23.36,36.11,32.92,44.61,6.37,0,4.25,2.12,0,1.06,0,0,0,21.24,3.19,30.8,6.37
 96-106,0,0,0,8.74,1.09,33.88,15.3,1.09,15.3,16.39,2.19,0,0,1.09,0,0,0,0,1.09,703.79,0,14.21,21.86,43.71,32.79,3.28,0,8.74,4.37,0,1.09,0,0,1.09,18.58,0,28.41,6.56
108-118,0,0,0,1.53,0,13.79,10.72,0.77,16.09,11.49,0.77,0,0,0.77,0.77,1.53,1.53,1.53,6.89,475.66,0,4.6,23.74,25.28,34.47,1.53,0,4.6,0.77,0,0,0,0,2.3,10.72,0.77,14.55,9.19
120,0,0,0,5.88,1.96,19.6,1.96,1.96,15.68,15.68,0,0,0,0,0,0,0,1.96,0,390,0,5.88,21.56,39.2,50.95,3.92,0,9.8,1.96,0,0,0,0,0,11.76,0,23.52,3.92
