stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,12.26,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,1.61,0,0,0.81,0,0,0.81
 48-58,0,0,0,0,1.72,0,1.72,0,0,0,1.15,0.57,0.57
 60-70,0,0,0.98,0,0.98,0,3.93,0,0,0,0.98,0,0
 72-82,0,0,1.96,0,0.98,0.98,3.93,0.98,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,0,0,1.06,0,0,0
 96-106,0,1.09,2.19,1.09,0,0,0,0,0,0,0,0,1.09
108-118,0,0,1.53,0.77,0,0,0,0,0,0,0,0,0
120,0,1.96,0,0,1.96,1.96,0,0,0,0,0,0,0
