stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,visceral.smooth.muscle
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0.81,8.86,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,0,0,0.57,13.2,0,0.57,0,0,0.57,0,0
 60-70,0,0,0.98,0,1.96,0.98,0,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0
 72-82,0,0,3.93,0.98,0.98,0,0.98,0,0,0,0,0,0,19.63,0,0,0,0,0.98,0.98,0
 84-94,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0
 96-106,0,0,7.65,1.09,1.09,0,0,1.09,0,0,1.09,0,0,3.28,0,0,2.19,0,1.09,0,0
108-118,0,0,6.13,0,0.77,0,0,0,0.77,0.77,0,1.53,0,9.19,0,0.77,0,0.77,0,0,0.77
120,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,5.88,0,1.96,3.92,1.96,0,0,0
