stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1423.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0
  5-6,55.17,870.41,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,139.32,2.63,0,0,36.8,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,62.94,3.15,0,0,12.59,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,7,2,5,0,0,64,0,0,0,0,0,0,3,0,0,105,5,3,5,2,0,0,0,2,26,0,194,1,0,0
 24-34,0,0,3.28,0,6.57,0.82,4.93,0,0.82,62.39,1.64,0,0,0,0.82,0,3.28,0,0,87.83,0.82,18.06,14.78,0,0,0,0.82,0,22.98,2.46,178.95,0.82,0,0
 36-46,0,0,4.83,0,1.61,0,4.03,0,0,36.26,0,0,0,0,0,0.81,2.42,0,0.81,60.43,0,21.75,7.25,0,0,2.42,0,0,14.5,0.81,89.43,0,0,0
 48-58,0,0,1.72,0,1.72,0,4.02,0,0,41.89,0.57,0,0,0,3.44,0.57,3.44,0.57,0,33.28,0,21.23,6.89,0,0,0,0.57,0,5.16,0,90.09,0,0,0.57
 60-70,0,0,1.96,0,1.96,0,5.89,0,1.96,37.3,0,0,0.98,0,4.91,0,0,0.98,0,37.3,0,21.59,6.87,0,0,2.94,0,0,3.93,0,25.52,0,0,0
 72-82,0,0,1.96,0,2.94,2.94,10.8,0.98,0.98,104.06,0,0,1.96,0,7.85,0,7.85,0.98,0,77.55,0,53.01,21.6,0,0.98,0,0,0,13.74,0,31.41,0.98,0,0
 84-94,0,0,3.19,0,4.25,0,4.25,0,0,26.55,1.06,0,0,1.06,2.12,0,3.19,0,0,31.86,0,50.98,13.81,0,0,0,0,0,8.5,0,27.61,0,1.06,0
 96-106,0,0,1.09,1.09,5.46,0,5.46,0,1.09,57.92,1.09,0,0,0,15.3,0,6.56,0,0,39.34,0,60.11,24.04,0,0,3.28,0,0,4.37,0,30.6,0,0,0
108-118,0,0,0,2.3,3.83,0.77,7.66,0,0.77,48.26,0,0,0,0,6.89,1.53,10.72,0,0.77,49.79,0,53.62,16.85,0,0,0,0,0,3.06,0,9.19,0,0,0
120,0,0,0,0,5.88,0,3.92,0,1.96,33.32,0,0,0,0,5.88,0,11.76,0,1.96,78.39,0,27.44,19.6,0,0,3.92,1.96,0,3.92,0,11.76,1.96,0,0
