stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,15.73,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,10,3,0,6,0,0,0,1,0,2,0,0,0,0,0,1,0,2,0,0,1,19,6,0,0,0,0,2,1,2,0,1,8,14,0,0,0,0
 24-34,0,0,0,16.42,0,0,18.06,0,2.46,0.82,0,0.82,0,0.82,0.82,3.28,0,0,1.64,0,6.57,1.64,0,1.64,96.04,5.75,0,2.46,0,0,3.28,0,0,1.64,0.82,1.64,32.83,0,1.64,0,0
 36-46,0,0,0,12.89,0,0,20.14,0,0,0.81,3.22,0,0,0.81,0.81,0,0,0,0,0,9.67,0,0,0,174.83,9.67,0.81,0,0,0,1.61,0.81,0,1.61,0,0,41.89,0,2.42,0,2.42
 48-58,0,0,0,4.02,0,0,65.99,0,0.57,1.72,9.75,0,0,0,0.57,0,0,0.57,0,0.57,16.64,0,0,5.16,243.29,7.46,0,0,0,0,1.15,0,0,0.57,0.57,0,55.09,0,0.57,0,2.3
 60-70,0,0,0,9.82,0,0,128.58,1.96,0,0,19.63,0,0,0,0.98,0,0,0,0.98,0,17.67,0.98,0,0.98,425.98,13.74,0,0.98,0,0,5.89,0,0,0,0,0,79.5,0,0,0,0
 72-82,0,0,0.98,12.76,0,0,206.15,0,0.98,0.98,27.49,0.98,0,0,3.93,0,1.96,0,0.98,0,49.08,0.98,1.96,4.91,587.03,2.94,1.96,0.98,0,1.96,3.93,0,0,0,0,0,58.9,3.93,5.89,0,0
 84-94,0,0,0,24.43,1.06,1.06,229.4,0,3.19,2.12,20.18,2.12,0,0,2.12,0,0,1.06,4.25,2.12,21.24,2.12,0,4.25,262.32,8.5,1.06,1.06,0,0,4.25,0,0,1.06,1.06,0,30.8,1.06,3.19,0,2.12
 96-106,0,0,0,16.39,3.28,0,203.27,0,0,0,29.51,3.28,0,0,4.37,1.09,0,0,3.28,0,39.34,0,0,2.19,252.45,14.21,3.28,2.19,0,1.09,10.93,0,0,1.09,0,0,15.3,4.37,6.56,3.28,3.28
108-118,0,0,0,19.15,1.53,6.89,209.87,0,0.77,1.53,19.15,2.3,0,0,5.36,0,6.89,0.77,6.89,0.77,31.4,0,2.3,2.3,319.41,9.19,1.53,2.3,0,0,11.49,0,0,3.06,0,0,14.55,0,5.36,2.3,1.53
120,0,0,0,21.56,3.92,0,94.07,3.92,0,0,11.76,1.96,0,0,7.84,0,0,0,5.88,1.96,19.6,0,0,5.88,250.85,13.72,5.88,1.96,0,1.96,9.8,0,0,0,0,0,13.72,0,3.92,0,0
