stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,4,3,3,0,0,2,0,0,0,0,0,0,0,83,0,0,2,0,0,0,17,0,0,0
 24-34,0.82,0.82,0,4.93,0,0,3.28,0,0,0,1.64,1.64,0,0,249.54,0,0,0,0,0,0,29.55,0.82,0,0
 36-46,0,0.81,0,2.42,0,0,14.5,0,0,0,0,0.81,0,0,290.85,0.81,0.81,0.81,0,0.81,0,47.53,0,0,0
 48-58,0,0.57,0,10.9,0,0,28.69,0,0,0.57,0,0.57,0,1.15,228.37,0,0,0.57,0.57,0,0,17.79,0,0,0
 60-70,0,0,0,3.93,0.98,0,39.26,0,0,0,0.98,1.96,0,0,233.6,0,0,0.98,0,0,0,9.82,0,0,0
 72-82,0,0.98,0,17.67,0,0.98,40.25,0,0,0,5.89,2.94,0,0,193.39,0,0,2.94,0,0,0,8.83,0,0,0.98
 84-94,0,1.06,0,15.93,0,0,26.55,0,0,1.06,0,2.12,0,0,118.95,0,0,5.31,0,3.19,0,5.31,0,1.06,0
 96-106,0,2.19,1.09,13.11,0,0,42.62,1.09,2.19,0,2.19,4.37,1.09,0,124.58,0,0,8.74,0,1.09,1.09,3.28,0,0,0
108-118,0,0.77,0.77,2.3,0,0,32.17,0,0,0,0.77,4.6,0,0.77,169.28,0,0,5.36,0,0,0,1.53,0,0,0
120,0,0,0,17.64,0,0,35.28,0,0,0,0,0,0,0,123.47,0,0,1.96,0,0,0,0,0,0,0
