stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,3,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,13.95,0,0,0,0,0,1.64,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,4.03,0,0,12.89,0,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0.57,0,1.72,0,0.57,0,0,0,0,0,0,1.72,0,0,10.33,0,0,0,0,0,1.72,0,0,1.15
 60-70,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0.98,0,1.96,0,0,12.76,0,0.98,0,0,0,4.91,0,0,0
 72-82,0,0,0,0,0.98,3.93,0,0.98,0,0,0,0,0,0,2.94,0,0,18.65,0.98,0,0,0.98,0,1.96,0.98,0,1.96
 84-94,0,0,0,0,0,4.25,1.06,1.06,0,0,0,0,0,0,3.19,0,0,2.12,1.06,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,0,0,0,2.19,0,0,1.09,0,0,0,5.46,0,0,5.46,0,0,0,0,0,1.09,1.09,0,5.46
108-118,0,0,0,0,0,2.3,0,1.53,0,0,0,0,0,0.77,2.3,0,0,3.83,0,0.77,0,0,0,1.53,0,0.77,0.77
120,0,0,0,0,0,1.96,1.96,1.96,1.96,0,1.96,1.96,0,0,3.92,1.96,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96
