stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,5.75,0,0,0,0.82,0,0,0,0.82,0,0,0.82,7.39,3.28,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,10.47,2.42,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,0.57,2.3,0,0,1.15,12.62,3.44,1.15,0.57,0,0,0
 60-70,0,0,0,0,0,1.96,0.98,0.98,0,0,2.94,0,0,0.98,15.7,2.94,4.91,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,9.82,0.98,0,0.98,0,15.71,0,0,0.98,6.87,9.82,6.87,0.98,0.98,0,0
 84-94,0,1.06,1.06,0,0,44.61,1.06,0,0,0,22.3,1.06,0,6.37,5.31,8.5,4.25,0,0,0,1.06
 96-106,0,3.28,1.09,1.09,0,38.25,1.09,0,0,0,26.23,0,0,3.28,5.46,8.74,12.02,0,0,1.09,0
108-118,0,0.77,0,0,0,121.02,0.77,0,0,0,21.45,0,0.77,11.49,2.3,11.49,6.89,0,0,0.77,0
120,0,1.96,0,0,0,58.79,3.92,0,0,0,33.32,0,0,3.92,9.8,5.88,13.72,0,0,0,0
