stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,106,0,3,0,0,0,0,0,0,0,0,81,0,0,1,0,0
 24-34,0,3.28,3.28,0,0,15.6,0,0,0,1.64,0.82,0,0,0.82,0.82,0,0,0,0,3.28,0,0,4.1,893.09,0,25.45,4.1,0,0,2.46,0,0,0,0.82,320.13,0,0,3.28,0,0
 36-46,0,0.81,2.42,0,0,78.15,0,0,1.61,8.06,0,0,0.81,0.81,0,0.81,0,0,0,5.64,0,0,1.61,2156.78,0.81,36.26,0,0,0,5.64,0,0,0,0,487.43,0,0,1.61,0,0
 48-58,0,1.15,13.2,0.57,0,416.58,0.57,0,0.57,33.85,0,0,0.57,0.57,0,0.57,2.87,0.57,1.72,37.87,0,0.57,5.16,2749.67,2.3,23.53,3.44,0,0,4.02,0,0.57,0.57,0,494.62,0,0,2.87,0,1.72
 60-70,0.98,3.93,8.83,1.96,0,1350.57,0,2.94,0,36.32,0.98,0,0,0.98,0,1.96,1.96,1.96,0,29.45,0.98,0,3.93,3984.98,0,24.54,8.83,0,0,6.87,0,0.98,0,0,491.74,0,0.98,0.98,0,4.91
 72-82,0,13.74,46.14,11.78,0.98,2507.16,0.98,1.96,6.87,143.32,11.78,0,1.96,0.98,1.96,3.93,4.91,0,0.98,100.13,1.96,0.98,7.85,3978.68,0.98,44.17,22.58,0,0,8.83,0,0,0.98,0,321,2.94,3.93,6.87,2.94,6.87
 84-94,0,9.56,53.1,8.5,0,1750.24,1.06,1.06,2.12,86.03,6.37,0,4.25,3.19,3.19,4.25,0,1.06,1.06,61.6,0,2.12,9.56,2035.93,0,32.92,23.36,0,0,14.87,0,1.06,0,0,201.79,3.19,2.12,2.12,7.43,0
 96-106,0,6.56,39.34,6.56,1.09,1389.01,1.09,2.19,2.19,89.61,6.56,0,0,1.09,2.19,6.56,10.93,2.19,0,37.16,1.09,4.37,8.74,1690.63,0,59.01,34.97,0,0,21.86,1.09,3.28,0,0,89.61,4.37,3.28,8.74,3.28,7.65
108-118,0,3.83,25.28,6.13,0.77,1046.31,1.53,3.06,2.3,75.06,3.83,0,0,4.6,0.77,16.85,1.53,2.3,0,32.17,1.53,0.77,3.83,2188.36,0.77,36,19.92,0,0,8.43,1.53,0,0,0,76.6,4.6,1.53,4.6,0.77,3.83
120,0,1.96,45.08,5.88,0,876.02,0,1.96,7.84,70.55,3.92,0,1.96,7.84,3.92,7.84,1.96,1.96,1.96,41.16,0,1.96,5.88,2467.37,0,25.48,17.64,0,1.96,13.72,1.96,0,1.96,0,86.23,3.92,0,1.96,0,0
