stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,29,0,0,55,0,0,0,0,0,0,1,0,0,696,0,0,0,0,0,2,1,0,1,1,161,0,0,0,0
 24-34,0,0,0.82,3.28,0.82,0,181.41,0.82,0,104.25,0,0,0,0,0,0.82,4.1,0,3.28,1186.96,0,0.82,3.28,0,0,0,0,0,0,0.82,281.55,0,2.46,0,0.82
 36-46,0,0,0,2.42,0,0,196.58,0.81,0.81,130.52,0.81,0,0,0,0,0,3.22,0,1.61,581.69,1.61,0,1.61,0,0,3.22,0,0,0,0,215.11,0,1.61,0,0
 48-58,0,0,0,1.72,0,0,198.54,0,0,166.98,0,0,0,0,0,0,4.59,0,1.15,257.64,0,0.57,1.15,0,0.57,1.15,0,0,0,0,173.29,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,159.01,0,0,219.86,0.98,0,0.98,0.98,0,0,3.93,0,1.96,140.36,0,0,0,0,0,0,0,0,0,0,120.73,0,0,0,0
 72-82,0,0,0,0.98,0,0,123.69,1.96,0,331.8,0.98,0,0,0.98,0,0,7.85,0,0.98,106.02,0,0,1.96,0,0,0,0,0,0,0,62.83,0.98,0.98,0,0
 84-94,0,0,0,1.06,0,0,95.58,0,0,213.47,7.43,0,0,0,0,0,4.25,1.06,0,73.28,1.06,0,3.19,0,0,1.06,0,1.06,0,0,47.79,0,1.06,1.06,0
 96-106,0,0,0,5.46,3.28,0,65.57,1.09,0,202.18,1.09,5.46,1.09,2.19,1.09,1.09,4.37,1.09,2.19,67.76,0,0,4.37,0,0,1.09,0,1.09,0,0,41.53,1.09,0,0,1.09
108-118,0,0,0.77,3.06,0,2.3,45.19,0,0,187.66,0.77,8.43,0,0,0,0,2.3,0.77,2.3,87.32,0.77,0,0.77,0,0,0.77,0,0,0,0,19.92,0,0,0,0
120,1.96,0,0,1.96,0,0,66.63,1.96,0,137.18,1.96,15.68,0,0,0,0,3.92,0,1.96,94.07,0,1.96,1.96,0,3.92,0,0,0,0,0,15.68,0,1.96,0,0
