stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,21.03,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,2.46,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,1.61,2.42,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0.57,1.72,0,0,1.72,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0.98,0,4.91,0.98,0,0,0.98,0,0.98,0,0.98,2.94,0,0,0,0.98,0,1.96,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0.77,0,1.53,0,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
