stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,0,63.09,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.36,0,0,0,70.98,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,22.03,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,15.73,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,16,0,1,0,0,0,0,0,3,0,2,3,0,0,0,0,3,0,0,3,9,1,5,0,1,0,1,0,0,1,18,7,0,0,1,0,0
 24-34,0,0,0,9.03,0,0.82,0,3.28,0.82,3.28,0,0,0.82,4.1,2.46,0,1.64,0,0.82,4.1,3.28,0,4.1,15.6,1.64,7.39,0,0,0,10.67,0,0.82,0.82,1.64,6.57,0,0,0.82,0,0
 36-46,0,0,0,7.25,0.81,2.42,0,2.42,0,2.42,1.61,1.61,0,12.89,1.61,0,0.81,0,1.61,9.67,1.61,0,4.03,24.17,0,2.42,0.81,0,0,16.11,0,0,0,0,6.45,0,0,0,0,0.81
 48-58,0,0.57,0,6.31,0,3.44,0,1.72,0.57,2.3,0.57,2.87,1.72,6.31,1.72,0,1.15,0,0.57,24.1,1.15,1.15,4.02,10.33,2.87,2.87,1.72,0,0,17.79,0,0,0.57,0,3.44,0,0,2.3,0,0
 60-70,0,0,0,10.8,0,6.87,0.98,9.82,3.93,6.87,0,0.98,0,40.24,0,0,2.94,0,0,53.98,2.94,0.98,5.89,17.67,0,1.96,1.96,0,0,47.11,0,0,0.98,0,9.82,0,1.96,0.98,0,0.98
 72-82,0,0,0,17.67,4.91,7.85,0,2.94,0.98,13.74,1.96,3.93,2.94,7.85,3.93,0,2.94,0.98,0,67.73,4.91,2.94,7.85,33.38,0,7.85,3.93,0,0.98,30.43,0,0.98,0.98,0,6.87,0.98,1.96,5.89,0.98,0
 84-94,0,1.06,0,38.23,2.12,11.68,0,7.43,1.06,2.12,2.12,1.06,1.06,22.3,3.19,0,1.06,1.06,2.12,47.79,6.37,2.12,2.12,13.81,1.06,5.31,1.06,0,0,121.07,0,1.06,0,0,6.37,3.19,0,4.25,0,0
 96-106,0,0,0,45.9,5.46,13.11,2.19,8.74,2.19,9.84,13.11,1.09,1.09,27.32,9.84,0,2.19,1.09,3.28,57.92,6.56,0,3.28,29.51,1.09,9.84,6.56,0,0,128.96,0,0,2.19,0,2.19,4.37,1.09,3.28,0,1.09
108-118,0,0,0,43.66,3.06,6.89,1.53,17.62,0.77,15.32,4.6,0,1.53,25.28,4.6,5.36,4.6,3.83,2.3,52.09,6.13,3.06,9.19,27.57,2.3,4.6,5.36,0,0.77,98.04,0,0.77,0.77,0,3.06,2.3,0,5.36,0,2.3
120,0,0,0,43.12,0,7.84,0,25.48,1.96,13.72,7.84,0,1.96,23.52,7.84,0,3.92,1.96,0,39.2,0,0,7.84,27.44,1.96,1.96,3.92,0,0,123.47,0,1.96,0,0,0,1.96,3.92,1.96,0,0
