stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,28,5,0,0,2,0,1,6,3,0,5,14,0,0,1,0,0
 24-34,0,0,0,0.82,7.39,0,11.49,0,0.82,0,2.46,0,0,0.82,0,0.82,0,0,0,0.82,13.13,0.82,0,3.28,96.86,0,0.82,0,0,0,6.57,0,0.82,0,3.28,18.06,0,0,4.1,0,0
 36-46,0,0,0,0,0.81,0,12.89,1.61,0,3.22,2.42,0,0,0,0,0,0,0.81,0,0.81,9.67,0,0,8.06,108.77,0,0.81,1.61,0,0,6.45,0,0,0,0,37.06,0,0,4.03,0,0
 48-58,0,0,0,0,2.3,0,22.38,0,0,0.57,6.89,0,0,0,0,0,0,0,0.57,0,16.64,0,1.15,3.44,73.45,0,1.15,0.57,0,0,1.15,0,0.57,0,0,26.4,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,0.98,0,33.37,0,0.98,0.98,10.8,0,0,0,0.98,0,0,0,0,0,21.59,0,0,1.96,76.56,0.98,0,0,0,0,4.91,0,0,0,0,15.7,0,0,0,0,0.98
 72-82,0,0,0.98,0,3.93,1.96,33.38,0,0,0.98,24.54,0,0,1.96,0,0,0.98,1.96,0,0,38.28,0,2.94,1.96,88.35,0,1.96,1.96,0,0.98,1.96,0,0,0,0,7.85,0,0,0.98,1.96,0
 84-94,0,0,0,0,2.12,0,30.8,0,0,2.12,16.99,1.06,0,0,0,0,1.06,2.12,2.12,0,20.18,0,2.12,1.06,59.47,1.06,0,2.12,0,2.12,4.25,0,1.06,0,0,6.37,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,17.49,1.09,1.09,1.09,16.39,2.19,0,0,3.28,1.09,0,0,0,0,21.86,0,0,3.28,44.81,0,2.19,4.37,0,0,7.65,0,0,1.09,0,2.19,1.09,1.09,2.19,1.09,0
108-118,0,0,0,0,6.13,0,16.09,0,2.3,0.77,13.79,1.53,0,0,0.77,1.53,1.53,1.53,0.77,0,18.38,0.77,0,2.3,56.68,0,1.53,1.53,0,0,4.6,0,0,0.77,0,2.3,0,0.77,3.06,1.53,0.77
120,0,0,0,0,7.84,1.96,5.88,0,0,0,21.56,0,0,0,0,0,0,0,0,0,9.8,0,1.96,1.96,50.95,0,0,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0
