stage,blastomeres,endoderm,epidermis,eye,fast.muscle,hatching.gland,immune,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,5.26,0,0,0,18.4,2.63,15.77,0,0,0
 10-12,0,3.15,0,15.73,0,3.15,0,0,0,28.32,9.44,22.03,0,6.29,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0.77,0,0,0.77,0.77,0.77,0,0,0,0,0,0
