stage,blastomeres,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,taste,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,80.44,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0.81,0,0,6.45,0,0,70.9,0.81,0.81,0,0
 48-58,0,0,0,1.15,0.57,0,0,0,0,0,0,0,0,1.72,0,0,0,3.44,0,0,53.94,0,0.57,0,0
 60-70,0,4.91,0,2.94,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0,4.91,0,0,62.82,0,0.98,0,0
 72-82,0,11.78,0,1.96,0.98,0,0.98,0,0,0,0,0,0,0,0.98,0.98,0,11.78,0,0,76.57,0,0,0,0
 84-94,0,10.62,0,3.19,4.25,0,1.06,1.06,1.06,0,0,0,0,1.06,2.12,0,0,5.31,1.06,0,218.78,0,0,0,0
 96-106,0,38.25,0,1.09,5.46,2.19,4.37,0,2.19,1.09,1.09,1.09,1.09,0,2.19,0,0,9.84,0,1.09,279.77,0,1.09,1.09,1.09
108-118,0,33.7,0.77,0.77,6.13,0,3.83,0,3.06,0,0,0,0,0.77,2.3,0,0,4.6,0,0,156.26,0,0.77,2.3,0.77
120,0,37.24,0,0,7.84,1.96,0,0,0,0,0,0,0,5.88,3.92,0,0,3.92,0,0,176.38,0,0,1.96,0
