stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,20.66,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,0,228.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,2.94,0.98,0,757.84,0,0,0,16.69,0,0,0,0,0,0.98,0,0.98,0,12.76,0,0.98,0.98,40.25,0,2.94,0,0,2.94,0.98,0,2.94,0,0,0,0,0
 84-94,0,1.06,11.68,7.43,0,740.24,0,0,0,6.37,0,0,0,1.06,0,0,0,0,1.06,18.05,1.06,2.12,0,39.3,0,1.06,3.19,0,11.68,0,1.06,2.12,1.06,0,2.12,1.06,0
 96-106,0,1.09,21.86,5.46,1.09,989.03,2.19,3.28,1.09,15.3,4.37,1.09,2.19,4.37,2.19,1.09,1.09,6.56,0,34.97,2.19,1.09,3.28,71.04,2.19,0,3.28,2.19,13.11,0,4.37,3.28,4.37,0,4.37,1.09,2.19
108-118,0,0,9.96,8.43,1.53,827.24,0,4.6,0.77,17.62,2.3,0,0.77,3.06,0.77,3.06,0.77,3.06,0,26.81,0.77,0.77,6.13,97.28,0.77,0.77,0.77,0,15.32,0.77,0.77,2.3,0.77,0.77,0.77,0.77,3.06
120,0,0,9.8,1.96,0,876.02,1.96,3.92,0,11.76,1.96,0,0,1.96,0,1.96,1.96,1.96,0,23.52,0,0,3.92,70.55,0,1.96,5.88,1.96,3.92,1.96,0,3.92,0,0,1.96,0,1.96
