stage,epidermis,eye,fast.muscle,fin.epithelia,glial,iridophores,mesenchyme,muscle,neural,notochord,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,0.82,0,0,0,0,1.64,1.64,0.82,0,0,0,0,0.82,0
 36-46,0,0,0.81,0,0,0,0.81,2.42,0,0.81,0,0.81,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0.57,0,0.57,0,0.57,0,0.57
 60-70,0,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0
