stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,680.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,13.14,0,0,44.69,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,573.06,5.26,0,0,218.18,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,15.73,0,22.03,0,3.15,34.62,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,490.93,12.59,0,0,132.17,0,0,0,25.18,0,0,0,0,0
 14-21,0,0,0,4,15,6,15,0,0,15,1,0,1,0,3,0,0,8,0,0,1,266,4,4,3,15,2,0,12,2,7,134,1,0,0
 24-34,0,0,0,0,0.82,0.82,15.6,0,0,6.57,0,0,0,0,0,0.82,0,5.75,0,0,5.75,168.28,0.82,6.57,0,0,1.64,0.82,0,0,3.28,44.33,0.82,0,1.64
 36-46,0,0,0.81,0,0.81,0,62.84,0,0,1.61,0,0,0,0,0,0,0,6.45,0,0.81,0,163.55,1.61,2.42,0,0,0,0.81,0,1.61,0,29,0.81,0,0
 48-58,0,0,0,0,0,0.57,63.69,0.57,0,1.72,0,0,0,0,0,0,0,6.89,0,0,1.72,65.41,3.44,1.15,0,0,0,0,0,0,0,8.03,0.57,0,0
 60-70,0,0,0,0,0,0,35.33,0,0,3.93,0,0,0,0,0,0,0,11.78,0,0,0.98,48.09,4.91,0,0.98,0,0.98,0,0,0,0,4.91,0.98,0,0
 72-82,0,0,0,0,0.98,0,30.43,0,0.98,5.89,0,0,0,0.98,0.98,0,0,10.8,0,0,0,60.86,6.87,0,0,0,0,0,0,0,0,1.96,0.98,1.96,0
 84-94,0,0,0,0,0,0,15.93,0,0,2.12,0,0,0,1.06,1.06,0,0,7.43,2.12,0,0,32.92,3.19,0,0,0,2.12,0,0,1.06,0,3.19,1.06,0,0
 96-106,0,0,0,0,0,0,9.84,1.09,1.09,0,0,0,0,0,0,0,0,3.28,0,0,0,17.49,4.37,1.09,1.09,0,3.28,0,0,0,0,3.28,3.28,0,0
108-118,0,0,0,0,1.53,0,8.43,0,0,4.6,0,0,0,0.77,0,0.77,0.77,3.83,0,0,0,32.94,4.6,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,3.92,1.96,0,0,1.96,0,0,0,3.92,0,0,0,25.48,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0
