stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,380.04,6.13,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,18.4,0,0,52.57,0,0,0,10.51,0,0,0,0,0,0,0,0,370.65,10.51,0,0,128.81,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,9.44,22.03,0,0,59.79,0,0,0,18.88,0,0,0,0,0,0,0,0,327.28,18.88,0,0,107,0,6.29,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,0,1,0,3,1,0,0,0,0,0,0,3,0,1,19,1,0,0,1,0,0,3,0,0,3,8,0,0,0,0
 24-34,0,0,0,3.28,0,6.57,0,1.64,0.82,0,0,0,0.82,0.82,0,5.75,0,1.64,58.28,0,0.82,1.64,0,2.46,0,0.82,0,0,0,8.21,0,0.82,0,0
 36-46,0,0,0,2.42,0.81,9.67,0,4.83,0,0,0.81,0,0,0,0.81,8.06,0.81,2.42,45.12,0,0,2.42,0,2.42,0,0,0,0,0,15.31,0,0.81,0,0
 48-58,0,0,0,0.57,0,16.64,0,2.3,0,0,0,0,0.57,0,0,4.59,0,0,48.77,0,0,0,0,1.15,0,0,0,0,0,11.48,0,1.15,0,0
 60-70,0,0,0,0,0,19.63,1.96,1.96,0,0,0,0.98,0,0,0,7.85,0,0,36.32,0,0.98,0,0,0.98,0,0,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,0.98,13.74,0.98,3.93,0,0,0.98,1.96,0,0,0,21.6,1.96,0,34.36,0,0,0.98,0,2.94,0,0,0,0,0,1.96,0.98,2.94,0.98,0
 84-94,0,0,0,2.12,0,15.93,1.06,3.19,0,0,0,1.06,1.06,0,0,10.62,1.06,1.06,20.18,0,0,2.12,0,1.06,0,0,0,0,0,2.12,0,1.06,0,0
 96-106,0,0,0,2.19,0,4.37,0,3.28,0,0,0,0,0,1.09,0,8.74,1.09,1.09,13.11,1.09,0,0,0,1.09,0,0,0,1.09,0,2.19,0,0,0,1.09
108-118,0,0,0,2.3,0,3.06,0,0,0.77,0,0,0,0,0,0,4.6,0,0,11.49,0,0.77,0.77,0,3.83,0,0,0,0,0,1.53,0,0,0,0.77
120,0,0,0,0,0,5.88,0,1.96,0,0,0,1.96,0,0,0,5.88,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
