stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,19,1,0,83,0,1,0,0,0,0,0,0,2,0,0,58,2,0,0,3,14,1,0,0,0,0,1,0,0,6,3,0,0,1,0,52
 24-34,0,1.64,0,16.42,0,0,261.03,0,2.46,0,1.64,0,0,0.82,1.64,23.8,0,0.82,157.6,17.24,1.64,0,5.75,122.31,0.82,1.64,0.82,0,0,4.93,9.85,0,4.93,18.88,0,0,4.93,0,132.98
 36-46,0,0,0,3.22,0,0,185.3,0,0.81,0.81,0.81,0,0.81,0.81,0,33.84,1.61,0,177.25,7.25,0,0,1.61,58.01,0,0,0,0,0,3.22,8.86,0,0.81,8.86,0,0,8.06,0,76.54
 48-58,0,1.15,0,0.57,0,0,185.34,0,0,1.15,2.3,0,0,0,0,51.07,0,0,133.7,14.92,0,1.15,2.3,53.36,0.57,0,0.57,0,0,1.15,3.44,0.57,0,12.05,0,0,9.18,0,70.58
 60-70,0,0.98,0,2.94,0,0,183.54,1.96,0,0,6.87,0,0,0.98,0.98,69.69,0,0,93.24,12.76,0,0,1.96,27.48,0,0,0,0,0,2.94,5.89,0,0,5.89,0,0,9.82,0,60.85
 72-82,0,1.96,0,1.96,4.91,0,141.36,0,0,2.94,5.89,0.98,0,0,0,74.61,0.98,1.96,77.55,32.39,1.96,0.98,0,60.86,0,0,0,0,0,1.96,6.87,0,0,3.93,0,0.98,10.8,0.98,37.3
 84-94,0,3.19,0,5.31,4.25,0,249.58,1.06,1.06,1.06,6.37,2.12,1.06,0,0,128.51,0,0,133.82,21.24,0,0,1.06,46.73,1.06,0,0,0,0,14.87,20.18,0,0,3.19,2.12,0,4.25,2.12,45.67
 96-106,0,3.28,1.09,6.56,6.56,0,242.61,2.19,1.09,2.19,6.56,1.09,0,3.28,0,133.33,3.28,3.28,81.96,40.44,0,7.65,3.28,56.83,0,0,2.19,0,1.09,10.93,9.84,0,0,2.19,1.09,2.19,9.84,1.09,49.18
108-118,0,1.53,0,6.13,2.3,3.06,237.45,0.77,1.53,0.77,8.43,2.3,0,3.06,0,182.3,1.53,4.6,114.89,26.81,0.77,6.13,1.53,58.21,0.77,0.77,2.3,0,1.53,4.6,6.13,0,0,1.53,0,0,6.89,0.77,45.19
120,0,3.92,0,5.88,0,0,82.31,1.96,0,0,5.88,3.92,0,0,1.96,109.75,3.92,3.92,50.95,13.72,0,3.92,1.96,43.12,1.96,0,0,0,1.96,1.96,0,0,0,5.88,0,0,5.88,1.96,9.8
