stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,324.87,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,36.78,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,7.89,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,207.67,21.03,0,0,362.76,0,26.29,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,107,0,0,0,107,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,18,1,1,0,1,0,62,1,11,0,2,5,13,0,0,0,0,0
 24-34,0,0,0,0,3.28,1.64,2.46,0,0,0,0,0,4.1,0,0.82,0.82,4.1,0,0,2.46,42.68,0.82,0.82,0,0,0,130.52,0,0,0,0,3.28,13.95,0,0,4.1,0,0
 36-46,0,0,0,0,4.03,0,2.42,0.81,1.61,0,0,0,0,0,0,0,3.22,0,0,0.81,32.23,0.81,0,0,0,0,104.74,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,4.59,0.57,1.72,0,0,0,0.57,0,0.57,0,4.02,0.57,0.57,1.15,23.53,0,0.57,0,0,0,78.04,0,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0,3.93,0.98,13.74,2.94,0.98,0,0,0,0.98,0.98,0,0,5.89,0.98,0,0,35.33,0,0,0,0,0.98,86.37,0,0,0,0,0,4.91,0.98,1.96,0,0,0.98
 72-82,0,0,0,0.98,13.74,0,4.91,0.98,0,0,0,0.98,4.91,0,0.98,0,12.76,0,0,1.96,35.34,0.98,0,0,0,0.98,93.26,0,0,0,0,0,2.94,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,0,18.05,0,6.37,3.19,2.12,1.06,0,0,4.25,0,1.06,0,6.37,2.12,0,1.06,16.99,0,0,0,0,0,280.38,0,0,0,0,0,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,0,38.25,1.09,7.65,7.65,3.28,3.28,0,1.09,8.74,0,2.19,0,10.93,4.37,0,1.09,10.93,0,0,0,0,0,221.85,0,0,0,0,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,0,32.17,0.77,3.83,9.96,0.77,1.53,0,1.53,3.83,0,3.06,0.77,6.89,5.36,0,0.77,9.96,0,0.77,1.53,0,0,140.17,0,0,0,0,0,0.77,0,0.77,1.53,0.77,0
120,0,0,1.96,0,15.68,1.96,3.92,3.92,1.96,0,0,0,1.96,0,0,0,5.88,3.92,1.96,0,5.88,0,0,1.96,0,0,99.95,0,0,0,0,0,0,1.96,0,0,0,0
