stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,8,1,0,0,1,2,5,0,8,0,0,0
 24-34,0,0,2.46,0.82,0,3.28,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0.82,19.7,0,0,0,0,9.85,0,0.82,18.06,3.28,0,0
 36-46,0,0,4.03,0,0,4.83,0,0.81,0,0.81,0,0,0,0,0,0,0,2.42,0,0,0,29,0.81,0.81,0,0,7.25,0,0,11.28,3.22,0,0
 48-58,0,0,2.87,0,0,5.74,0.57,0,0,1.72,0.57,0,0.57,0,0,0,0,2.3,1.15,0,0.57,36.15,0,0,0,0,9.75,0,0,6.89,1.15,0,0.57
 60-70,0,0,2.94,0,0,21.59,0,1.96,0.98,0,0,0,0,0,0,0.98,0.98,4.91,0.98,0,0.98,44.17,0,0.98,0,0,20.61,0,0,5.89,0,0,0
 72-82,0,0,0,0.98,0,28.47,0,0,0,0.98,0,0,0,0.98,0,0,0.98,7.85,0,0,0,49.08,0,0,0,0,4.91,0,0,1.96,2.94,0,2.94
 84-94,0,0,2.12,0,0,8.5,0,0,0,5.31,0,0,0,0,0,0,0,2.12,3.19,0,2.12,26.55,0,1.06,1.06,0,22.3,0,0,2.12,1.06,1.06,0
 96-106,0,0,3.28,1.09,1.09,7.65,0,1.09,0,4.37,2.19,0,0,0,0,0,0,6.56,1.09,0,0,18.58,0,2.19,0,0,27.32,0,0,0,0,1.09,0
108-118,0,0,0.77,1.53,3.06,5.36,0,1.53,0,2.3,2.3,0,0,5.36,0,0.77,0,9.19,2.3,0.77,0.77,19.15,0,0,0.77,0,19.92,0,0,0,1.53,0,0
120,0,0,1.96,1.96,1.96,5.88,0,0,1.96,3.92,1.96,0,0,5.88,1.96,0,0,1.96,1.96,0,0,31.36,0,0,0,0,27.44,0,0,0,1.96,0,0
