stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,39,0,0,0,0,0,1,0,2,7,39,0,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,1.64,0,0,0,0.82,0,0,0,0,5.75,0,0,27.91,208.5,2.46,0,0,0,0,0,0,0,0,117.38,0,0,0,0
 36-46,0,0,0,0,0,20.14,0,0,0,4.83,0,0,0,0,0,0,0,0,6.45,0,0,9.67,523.69,3.22,0.81,0,0,0,0,0,0,0,149.05,0,0.81,0,0
 48-58,0,0,0,1.15,0,71.15,0,0.57,1.15,14.35,0,0.57,0,0,0,0.57,0,0.57,9.18,0,0,4.59,602.5,0.57,0,0,0.57,1.15,0,0.57,0.57,0,174.44,0,0.57,0,0
 60-70,0,0,0,1.96,0,203.18,0,0,0.98,18.65,0.98,0,0,0,0,0,0,0,11.78,0,0,0.98,859.81,1.96,0,0,0,0.98,0,0,0,0,186.49,0,0,0,0
 72-82,0,0,0.98,3.93,0.98,276.83,0,0,3.93,18.65,0.98,0,1.96,0,0,0,0,0.98,19.63,0,0,1.96,759.81,1.96,0,0,0.98,0.98,0,0,0,0,83.44,0,0,0,1.96
 84-94,0,0,2.12,5.31,0,152.93,0,0,0,18.05,0,0,0,0,0,0,1.06,0,10.62,1.06,2.12,0,312.24,1.06,1.06,0,0,2.12,0,0,0,0,49.92,1.06,0,0,0
 96-106,0,0,0,7.65,1.09,124.58,1.09,1.09,1.09,13.11,0,0,0,0,1.09,0,1.09,0,5.46,0,0,3.28,274.3,0,1.09,0,0,5.46,0,0,0,0,16.39,0,2.19,1.09,0
108-118,0,0,0.77,4.6,0,114.89,0.77,0.77,0,9.96,0,0,0,0,0,0,0,0,7.66,0,0.77,1.53,298.73,0.77,0,0,0,0.77,0,0,0,0,16.85,0,0,0,0.77
120,0,0,0,11.76,0,86.23,0,1.96,0,15.68,0,0,0,0,0,0,0,0,5.88,0,0,1.96,319.45,0,0,0,0,0,0,0,0,0,19.6,0,0,0,0
