stage,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3
 24-34,0,0,0,0,1.64,0,0,0,0,0.82,0,0,0,0,2.46
 36-46,0,0,0,0.81,0.81,0,0,0,0,0.81,0,0.81,0.81,0,1.61
 48-58,0.57,0,0.57,0,1.15,0,0,0,0.57,0,0.57,0.57,0,0,0.57
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,2.94
 72-82,0,0,2.94,0,2.94,0,0,0.98,0,0,0,2.94,0,0,3.93
 84-94,0,0,0,0,3.19,0,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,0,1.09,2.19,1.09,1.09,1.09,0,0,6.56,0,0,2.19
108-118,0,0.77,0,0,1.53,1.53,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0
