stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,18,2,0,0,0,0,0,1,0,1,12,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.1,0,5.75,0,0,0,0,0,0,0,0,5.75,0,2.46,225.74,4.1,2.46,2.46,0,0,0,0,0,0.82,75.52,0,0,0,0,0
 36-46,0,0,0,0,0,0,14.5,0.81,10.47,0,0,0,0,0,0,0,1.61,4.83,0,0.81,650.98,4.83,6.45,0,0,0,0,0,0,0,140.99,0,0,0,0,0
 48-58,0,0,0,0,0,0,56.81,0.57,20.66,0,0.57,0,0,0,0,0,0.57,18.94,0,0.57,635.2,1.15,2.87,1.72,0,0,0,0,0,0,119.35,0,0,0.57,0,1.72
 60-70,0,0,0.98,0,0,0,212.99,0.98,20.61,0.98,0.98,0,0,0.98,0,0,0,32.39,0.98,1.96,874.54,1.96,5.89,0,0,0,0.98,0,0,0,146.25,0,0.98,0,0.98,2.94
 72-82,0,0,0.98,0,6.87,0.98,229.71,0.98,46.14,0,0.98,0,0,0,0.98,0,0,63.81,1.96,5.89,742.14,2.94,4.91,10.8,0,0.98,0.98,0,0,0,77.55,0.98,0,2.94,0,1.96
 84-94,0,0,0,0,5.31,0,127.44,2.12,27.61,0,0,2.12,0,0,3.19,0,0,30.8,4.25,2.12,343.04,2.12,6.37,11.68,0,2.12,4.25,0,0,0,52.04,0,0,0,1.06,0
 96-106,0,0,0,0,6.56,0,101.63,2.19,38.25,0,1.09,3.28,0,1.09,4.37,0,0,31.69,0,2.19,280.86,2.19,7.65,13.11,0,0,1.09,0,0,0,13.11,0,1.09,1.09,1.09,0
108-118,0,0,1.53,0,6.13,0,74.3,0,22.21,0.77,0.77,4.6,0.77,0.77,3.83,0,0.77,35.23,1.53,1.53,324,2.3,5.36,6.89,0,0,0.77,0,0.77,0,12.26,0,0,0,0.77,0
120,0,0,1.96,0,1.96,0,84.27,0,19.6,0,0,3.92,1.96,0,5.88,0,0,19.6,1.96,0,286.13,0,0,13.72,0,0,0,0,0,0,7.84,0,0,1.96,1.96,1.96
