stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,17,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0
 24-34,0,0,0.82,0,18.88,0,41.04,0,12.31,0,1.64,0,0,2.46,0.82,0,0,0,0,0,11.49,0.82,0,9.85,135.44,5.75,0,0,0,0,0,0,0,0.82,31.19,0,0,0.82,0,0.82
 36-46,0,0,0.81,0,4.83,0.81,70.9,0,4.03,0,27.39,0,0,4.03,0,0,0,0,0,0,41.89,0,2.42,8.06,251.37,4.03,0,0,0,0,0,0,0,0,49.15,0,0,1.61,0,2.42
 48-58,0,0,0.57,0.57,3.44,0,37.3,0,6.89,1.15,71.15,0,0,4.02,0,0.57,0,0,0,0,61.97,0.57,3.44,9.18,175.58,5.74,0,0,0,1.15,0.57,0,0,0,56.23,0,1.15,2.3,0,5.16
 60-70,0,0,1.96,0,11.78,0,80.48,0,10.8,3.93,190.42,1.96,0,3.93,0,0,0,0,0,0,127.6,0.98,4.91,16.69,243.42,9.82,0,1.96,0,0.98,0,0.98,0,0,63.8,0,7.85,3.93,3.93,6.87
 72-82,0,0,0.98,1.96,13.74,4.91,98.17,0.98,1.96,6.87,285.66,2.94,0.98,7.85,0,0,0.98,1.96,0,0,207.13,0,5.89,22.58,303.33,5.89,0,4.91,0,1.96,0.98,1.96,0,0,54.97,0.98,6.87,9.82,8.83,11.78
 84-94,0,0,1.06,2.12,18.05,1.06,88.15,0,7.43,4.25,182.67,6.37,0,5.31,1.06,1.06,0,2.12,1.06,2.12,137,1.06,6.37,15.93,195.41,10.62,0,5.31,0,0,2.12,0,0,0,31.86,0,8.5,10.62,3.19,20.18
 96-106,0,0,0,0,24.04,0,96.17,1.09,8.74,6.56,209.83,13.11,0,10.93,0,0,2.19,0,4.37,0,163.93,2.19,6.56,19.67,227.31,13.11,1.09,2.19,0,8.74,2.19,1.09,0,0,38.25,2.19,8.74,21.86,13.11,13.11
108-118,0,0,3.83,4.6,32.94,3.06,80.43,1.53,15.32,6.89,193.79,6.89,0,5.36,0.77,0.77,4.6,1.53,4.6,2.3,121.02,5.36,9.96,16.09,301.79,14.55,1.53,8.43,0,3.06,3.06,0.77,0.77,0,26.81,2.3,7.66,13.02,7.66,15.32
120,0,0,0,1.96,27.44,3.92,74.47,0,3.92,9.8,201.86,0,0,5.88,3.92,1.96,1.96,0,0,0,137.18,1.96,7.84,13.72,335.12,11.76,0,7.84,0,0,3.92,1.96,0,0,27.44,0,13.72,13.72,15.68,7.84
