stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,404.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,686.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,13.14,0,13.14,0,0,0,39.43,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,349.62,10.51,0,0,94.63,0,115.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,6.29,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,380.78,6.29,0,0,84.97,0,66.09,3.15,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,65,2,0,4,0,0,0,3,0,4,0,109,0,0,2,0,4,20,0,3,71,4,0,1,1,0,911,0,6,2,0,6,19,0,0,0,0,0
 24-34,0,0,0,0,57.46,0,0,4.1,0,4.93,0,0,0,19.7,0,177.3,0,1.64,0.82,0,4.1,37.76,0,0,79.62,0,13.95,0.82,0,0,390.73,0,0,4.1,0.82,1.64,9.03,0,0,1.64,0,0
 36-46,0,0,0,0.81,34.64,0,0,3.22,0,2.42,0.81,2.42,0,15.31,0,66.06,0,4.03,0.81,0,2.42,11.28,0,0,123.27,0,7.25,1.61,0,0,153.88,0,0,2.42,0,0,6.45,0,0,1.61,0,0
 48-58,0,0,0,0,53.94,0.57,0,6.31,0,2.87,0,2.3,0,42.46,0.57,26.4,0,2.3,0,0,3.44,7.46,0,0,87.22,0,1.72,0.57,0,0,46.48,0,0,0,0,0,7.46,0,0,1.15,0,0.57
 60-70,0,0,0,0,85.39,0.98,0,15.7,0,0.98,0,3.93,4.91,25.52,0.98,27.48,0,3.93,0,0,6.87,3.93,0,0.98,64.78,0,0,0,0,0,26.5,0,0,0,0,0,3.93,4.91,0,0,0,0.98
 72-82,0,0,0,0,161.97,2.94,0,28.47,0,2.94,0.98,8.83,39.27,14.72,0.98,53.99,0,1.96,1.96,0,13.74,2.94,0.98,2.94,90.31,0,1.96,0.98,0,0,18.65,0,0,0,0,0,0,20.61,0.98,2.94,0,1.96
 84-94,0,0,0,0,341.98,7.43,0,16.99,0,12.74,2.12,4.25,60.54,21.24,1.06,95.58,0,4.25,0,1.06,6.37,2.12,2.12,3.19,86.03,0,4.25,1.06,0,0,46.73,0,0,1.06,0,0,1.06,120.01,1.06,2.12,0,2.12
 96-106,0,0,3.28,0,510.36,9.84,0,48.09,1.09,8.74,0,15.3,178.13,2.19,4.37,111.47,0,12.02,3.28,0,22.95,12.02,3.28,2.19,120.21,3.28,7.65,0,0,2.19,67.76,0,0,1.09,0,0,5.46,205.46,2.19,1.09,3.28,2.19
108-118,0,0,0.77,0,472.6,3.83,1.53,30.64,0,14.55,2.3,15.32,203.75,0.77,4.6,114.13,0.77,4.6,1.53,0,19.92,12.26,0.77,3.83,109.53,1.53,6.89,0.77,0,0,56.68,0,0,0,0,0,0.77,242.04,0.77,1.53,0.77,0.77
120,0,0,0,0,419.39,5.88,1.96,25.48,0,7.84,0,7.84,105.83,0,0,84.27,0,7.84,0,0,25.48,15.68,0,7.84,82.31,0,3.92,0,0,1.96,48.99,0,0,3.92,0,0,1.96,96.03,1.96,3.92,0,5.88
