stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,5.26,0,0,10.51,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,120.92,5.26,0,0,23.66,0,5.26,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,9.44,0,0,15.73,0,6.29,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,24,0,0,0,1,0,1,0,2,0,3,13,0,1,0
 24-34,0,0,0,0,0,0.82,1.64,0,0.82,1.64,0,0,1.64,0,1.64,0,0,0,0,5.75,0,0,1.64,60.74,0,0,0.82,0,0,5.75,0,0,0,0,12.31,0,0,0
 36-46,0,0,0,0,0.81,0,15.31,0,0,2.42,0,0,0.81,0,0,0,0,0,0,8.06,0,0,4.83,112.79,0,1.61,0.81,0,0,5.64,0,0,0,0,26.59,0,0,0
 48-58,0,0,0,0,0,0,49.35,0,1.72,13.77,0,0,0,0,0,0,0,0,0.57,17.79,0,0,4.02,169.85,0,0.57,0.57,0,0,6.31,0,0,0,0,35,0,0.57,0
 60-70,0,0,0,0,0.98,0,34.35,0.98,0.98,4.91,0,0,0,0.98,0,0,0,0,0,13.74,0,0,1.96,96.19,0,0.98,0,0,0,2.94,0,0,0.98,0,5.89,0,1.96,0
 72-82,0,0,0.98,0,0,0,20.61,0,0.98,13.74,0,0,0,1.96,2.94,0.98,1.96,0,0,9.82,0,0,2.94,69.7,0,0.98,0,0,0,1.96,0,0,0,0,8.83,0.98,0.98,0
 84-94,0,0,2.12,0,2.12,0,12.74,0,0,5.31,0,0,0,0,2.12,0,0,1.06,0,7.43,0,1.06,2.12,29.74,0,2.12,0,0,0,5.31,0,0,1.06,0,2.12,1.06,2.12,0
 96-106,0,0,0,0,0,0,21.86,0,0,7.65,0,0,1.09,2.19,2.19,0,1.09,0,0,12.02,2.19,0,0,36.06,0,1.09,0,0,1.09,2.19,0,0,0,0,3.28,0,0,1.09
108-118,0,0,0.77,0,2.3,0,10.72,0,0,3.06,1.53,0,0,1.53,1.53,0.77,0.77,0,0,2.3,0,0,0.77,25.28,0,0,0.77,0,0,2.3,0,0,0.77,0,1.53,0.77,0,0
120,0,0,0,0,0,0,5.88,0,0,5.88,3.92,0,0,1.96,0,0,0,0,0,0,0,0,0,15.68,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0
