stage,axial,blastomeres,eye,glial,hatching.gland,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,7.89,0,2.63,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,3,0,0,2,1,0,0
 24-34,0,0,0.82,0,0,0,0.82,3.28,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0.81,0,8.06,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,1.15,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0.77,0,0.77,0.77,0,0,0,0,0
