stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.46,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0.81,4.83,0,0.81,0,0,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0,0,0,1.15,0.57,4.02,0,0,0,0,0,0,2.87,0.57
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0.98,1.96,0,2.94,0,0,0.98,0,0,0.98,0,0
 72-82,0,1.96,0,0.98,1.96,0,1.96,0,0,0,0,0,0,0.98,0,2.94,0,0,0,0,0,0,0,0
 84-94,0,3.19,0,0,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,2.12,0,0,0,0,3.19,0,0,0
 96-106,0,13.11,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,3.28,0,0,0,0,1.09,0,0,0
108-118,0,8.43,0,0,0.77,0.77,0,0,0.77,0.77,0,0.77,0,0.77,0,3.83,0,0,0.77,0,0,0,0,0
120,0,11.76,0,0,1.96,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
