stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,1,0,1,0,0,1,0,0,15,0,2,1,0,0
 24-34,0,1.64,0,4.1,0,0.82,0,0,0,4.1,0.82,27.09,0,7.39,7.39,1.64,0
 36-46,0,0.81,0,3.22,0,0,0,0.81,0.81,0,0.81,29,0,0.81,5.64,0,0
 48-58,0,0,0.57,8.03,0,0,0,0,0,1.15,0.57,9.18,0.57,6.89,2.87,1.15,0
 60-70,0,0,0,5.89,0.98,0,0,0,0,0.98,0,5.89,0,10.8,0,0,0
 72-82,0,0,0,4.91,0,0,0.98,0,0,4.91,0.98,8.83,0,9.82,1.96,0,0
 84-94,0,1.06,0,4.25,0,0,0,0,0,1.06,0,3.19,0,35.05,0,0,0
 96-106,0,1.09,1.09,2.19,0,0,0,0,0,2.19,1.09,4.37,0,18.58,0,0,0
108-118,0.77,0,0.77,3.06,0.77,0.77,0,0,0,3.06,0,4.6,0,26.81,0,0,0.77
120,0,1.96,0,0,0,1.96,0,0,0,1.96,1.96,0,0,19.6,0,0,0
