stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,10.51,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,94.63,5.26,0,0,31.54,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,151.05,0,0,0,56.65,0,0,6.29,0,0,0,0
 14-21,0,0,1,7,0,1,0,0,0,0,0,0,1,0,5,0,0,3,14,0,1,0,1,0,2,0,4,7,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0,0,2.46,11.49,0.82,0,1.64,0,0.82,0,0,0,3.28,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,4.03,0,0,4.03,8.06,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,4.02,0,0.57,1.15,0,0,0,0,0,7.46,0.57,0,0.57,9.75,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,3.93,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0.98,1.96,0,0,0,0,0,0.98,0,0.98,5.89,0,0,0,1.96,0,0,0,0,0,0,0,0,2.94,0.98,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,0,0,0,8.5,0,0,1.06,3.19,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,6.56,0,1.09,1.09,2.19,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0.77,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
